pathway	140A	146A	151A	156A	158A	161A	162A	167A	258A	259A	260A	261A	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B
PWY-7090	0.0	0.0	39.69575712269622	0.0	67.0873051129582	24.478992329829968	44.35679425085203	0.0	0.0	376.294509807205	395.8228626906003	122.40453199632128	23.115942028985504	20.3125	0.0	0.0	18.75863781459615	0.0	0.0	0.0	267.6234672036359	25.8770018262054	69.35442170353724	63.82592940534579
PWY-7094	62.65530140751346	53.75236282054673	0.0	47.825294111713504	17.968753632591838	0.0	0.0	92.21180925275353	0.0	0.0	0.0	0.0	2127.3678957338966	3080.440193152447	1706.17154406622	1004.0831275100398	1808.804935023497	2009.4040008131965	1427.4372189220237	771.0803587033632	5242.765800626557	622.8680756997971	624.6815842222176	137.57952770193336
PWY-7097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.72681035374909	8.988098303837601	0.0	9.596971006310609
PWY-7098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.93081255908067	10.030529769806195	0.0	10.30224084848475
PWY-7111	26009.044506546656	20306.813238442734	16391.422274237117	19506.42308426098	19140.920274431675	26656.54285913053	20158.986143308484	23679.334471097314	32299.19292216247	29727.779399943684	29019.295891019367	24179.761715780955	6015.741503890112	7616.246178877786	5037.04040761656	3058.0792901973336	3614.274876097928	5616.0524265859785	4405.39598780839	2811.15651661836	24137.06581288225	6584.387173357285	9767.866107592728	7784.150674797419
PWY-7159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.730756540884066	0.0	0.0	0.0	0.0	0.0	29.73043862766023	17.897839119467417	0.0	56.82166942929601
PWY-7184	26971.46285095733	22463.5737425238	28921.935972575287	26046.31271313773	19487.08129059365	31283.538466083646	26354.01004190258	30298.55459738923	19871.006658771625	21352.46117270797	25734.240460390985	17102.801201197817	13090.34776083044	17091.47402347978	37052.25677613074	10661.683616545151	2341.040088837395	18128.78855180725	12431.333982575918	42536.98543822209	16151.586082257829	20888.236220371266	18959.035162360306	23346.167856499265
PWY-7185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7187	26409.948733840138	21945.34715170221	27713.330143583604	25151.38531360229	20578.10731299391	29869.753544515646	25407.70611776804	30095.168716711883	19060.83036917465	22262.615214275305	25929.447044333057	17784.925221713314	11437.783553034438	14693.778612810896	32128.981642134742	10887.440489775268	2157.951297966051	15942.086897512369	10885.634918645	36289.20300689977	16134.394774094097	18791.299311865423	17236.159155575446	21802.24130860472
PWY-7196	30424.596539422542	24666.99640775275	28603.015716691058	27396.216352940875	22328.077336058188	35686.26752601905	28630.018431507862	34546.22552240877	27396.23151607117	27592.892743789354	30431.57668401861	23331.6121675142	9512.795469093864	12505.713507646093	14093.80226734608	7255.45468739016	2002.284831670564	12070.994598352898	7771.036441860784	9674.873147936063	18678.542927189024	15854.12549789068	17179.367047701522	19038.362013205497
PWY-7197	24858.651669477003	20617.573492459247	25566.67957024432	22910.57586392747	17253.154059974775	30861.60644393372	23885.909177854865	28223.99716028916	23483.609950737664	20675.984039750707	23219.61329964958	17377.98436316268	11632.080861504452	15049.946637042463	32913.39534875156	9455.938637125691	2075.332533595366	16027.974470778172	11046.087284498606	37808.91466159239	14648.19508118737	18627.44553249104	16933.654789039738	20846.47599860453
PWY-7198	108.1827740777467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.89589967622928	34.957676077010575	17.488285402561054	45.43623646371213
PWY-7199	20199.87559751226	15866.803869151156	16477.79597374401	18110.940718303216	17044.982371587972	21329.985250770613	17487.741509237945	22038.20328397652	20881.12008400069	20613.54918927298	22125.57803703446	18494.24040827713	2755.2374228910485	3793.9735111721766	2064.2519793032	1716.282527588534	962.9208915594572	2979.801496047436	1748.023950309365	1166.5072361420594	14377.503055280024	4770.109029655185	7771.467856229135	6401.204009475769
