function	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
EC:2.7.8.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.33	13285.6	29945.5	29675.75	33047.6	34997.93	37411.09	36232.7	38371.880000000005	31006.88	28444.0	25443.44	21580.590000000004	31391.14	27494.27	28604.57	35975.9	33549.57	32751.39	39000.03	7858.19	22317.76	16347.28	15154.5	15411.75	12594.18	13147.15	23501.42	4211.97	19076.01	18892.79
EC:2.7.8.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.37	7242.0	7985.32	16871.68	3453.7200000000003	8282.4	79.0	0.0	297.0	1672.0	2676.0	2366.96	13687.32	5555.0	13815.48	4297.4400000000005	184.0	2172.68	76.0	51.0	11.0	12923.0	13508.32	13738.68	12673.0	2570.32	6899.32	6499.0	1693.0	1531.0	705.32
EC:2.7.8.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.41	17.67	32.0	17.0	138.34	27.0	2553.5	868.6700000000001	1116.33	28.25	115.0	30.67	41.66	103.25	44.0	61.67	43.67	46.67	412.85	231.67	355.34000000000003	308.2	8.0	0.0	15.0	82.84	99.66	0.0	527.9200000000001	1248.33	471.0
EC:2.7.8.5	13500.1	30478.5	30085.25	33865.6	35273.93	42643.09	38484.67	41177.380000000005	31576.13	28901.0	25670.44	21723.090000000004	32804.39	29061.77	30164.57	36272.9	34069.07	33654.24	39172.78	13486.19	23030.54	16941.58	15250.5	15434.15	14224.18	15115.65	23588.42	15242.67	23247.18	21569.82
EC:2.7.8.6	0.0	0.0	0.0	844.4300000000001	9.43	672.0	149.0	0.0	427.0	702.5	613.49	0.0	16.5	240.29	1068.86	0.0	0.0	0.0	0.0	1596.0	0.0	0.0	4.0	0.0	0.0	420.0	1.0	0.0	0.0	151.0
EC:2.7.8.7	13276.77	29910.33	29752.92	34397.200000000004	35087.03	37648.25	36366.87	38273.38	31676.05	29128.0	25086.6	21562.090000000004	31295.8	27476.56	30011.76	35661.07	33152.24	32163.050000000003	38740.37	5972.6900000000005	22294.43	16553.78	15195.67	15249.25	12215.52	12659.49	22810.75	5767.47	17987.68	18211.13
EC:2.7.8.8	1819.33	2074.0	4531.75	1705.2600000000002	2378.93	5529.09	1591.3000000000002	939.25	1042.83	1379.0	1539.32	3560.33	3389.09	5453.37	3045.53	623.8299999999999	1201.75	485.94	397.91	9285.25	4264.19	4071.98	3601.5	3385.75	6294.74	6226.24	2470.42	10462.45	7618.5	2313.82
