function	055B	056B	068B	071B	077B	078B	091B	092B	093B	094B	098B	099B	100B	101B	217B	218B	219B	220B	223B	224B	225B	241B	242B	243B	244B	245B	246B	248B
EC:1.20.4.3	22.25	64.0	38.0	5.5	67.5	3.0	952.5	0.0	0.0	19.0	3.5	8.0	33.0	61.0	81.83	98.5	14.33	290.25	329.5	155.32999999999998	79.0	71.5	98.17	74.5	144.75	49.0	245.0	160.0
EC:1.20.9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
EC:1.21.4.1	159.35000000000002	119.65	201.7	103.35	200.0	145.35000000000002	255.0	60.0	71.65	0.0	213.35	93.35	75.0	305.79999999999995	978.0	649.0	360.0	2401.85	2176.75	1193.75	1334.75	789.0	1389.25	1722.5	869.75	537.0	1096.0	1653.25
EC:1.21.4.2	231.61	575.46	6900.02	2850.01	159.13	202.34	872.3299999999999	259.13	445.79	110.87	208.01	69.54	45.0	290.48	1674.0	1231.5	1080.87	4023.61	3480.1000000000004	2244.91	3193.65	3634.0	2409.55	2509.4	2575.0	1398.74	2009.52	3048.95
EC:1.21.4.4	29.67	38.33	40.34	20.67	40.0	30.67	51.0	12.0	38.33	0.0	62.67	18.67	15.0	61.16	263.0	173.0	88.0	603.6700000000001	569.75	313.75	447.75	211.0	352.25	387.5	381.09	149.0	309.0	474.25
EC:1.21.98.1	82.0	17.0	43.33	23.0	66.67	58.0	52.75	1.0	61.66	51.0	16.0	0.0	0.0	37.0	340.55	295.5	52.25	542.4	605.15	466.85	564.15	251.75	462.9	607.0	545.55	198.05	444.6	525.6
EC:1.3.1.1	3016.5	12995.75	3960.67	1995.83	2458.25	2990.67	6166.83	2541.5	2457.32	2191.25	1083.75	7707.34	550.75	826.0	495.0	478.5	5199.0	686.4	756.0	838.75	1010.29	1315.0	798.25	1407.75	1116.15	2677.75	1143.25	975.92
EC:1.3.1.10	6096.35	12508.91	14277.44	23912.83	6359.23	7420.5	14335.46	40324.130000000005	21663.5	16135.73	19986.58	18710.13	20797.41	4196.5	3613.62	9920.94	9891.1	8489.51	8697.460000000001	9019.36	9476.18	6993.570000000001	6591.950000000001	6648.549999999999	9981.72	6831.820000000001	5968.06	9055.76
EC:1.3.1.101	29.0	0.0	12.0	0.0	32.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	60.0	34.0	34.0	0.0	36.0	15.0	17.0	0.0	50.0	55.0
EC:1.3.1.104	29.0	7.0	0.0	1622.0	0.0	3.0	87.0	0.0	9.0	0.0	0.0	0.0	26.0	0.0	5.0	10.0	0.0	10.0	47.0	24.5	1.22	6.0	0.0	20.5	0.0	0.0	22.0	42.0
EC:1.3.1.106	2942.25	2604.25	4095.67	2179.5	2482.0	3065.17	2346.33	2294.0	2453.42	2185.75	940.75	376.43	565.75	735.35	1539.64	1443.27	550.1700000000001	3814.3	3434.58	2169.69	2321.78	1421.53	2059.76	2893.08	2560.54	1158.05	2541.94	2484.36
EC:1.3.1.12	3452.9	9926.55	10666.1	13002.9	3219.13	4190.23	13019.23	32800.05	19639.480000000003	14203.420000000002	19227.68	16846.63	18776.8	3379.4400000000005	4493.97	10695.17	10344.63	11694.41	10641.32	10604.72	11477.17	7731.96	6883.95	7324.91	11482.6	6886.22	7200.18	10851.87
EC:1.3.1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	4.0	0.0	18.0	0.0	5.0	0.0	0.0	0.0	7.0	0.0
EC:1.3.1.14	938.57	969.8	7905.27	6750.74	724.3000000000001	644.2	3410.06	4425.13	1785.44	2329.17	686.77	698.7	772.89	742.25	4217.200000000001	3911.57	1729.5700000000002	9793.37	9547.67	5348.780000000001	7545.92	5525.43	5338.03	7061.42	7429.150000000001	2684.11	6567.2	7209.19
EC:1.3.1.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	18.0	0.0	0.0	8.0	0.0	31.0	0.0	10.0	52.0	34.0
EC:1.3.1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.22	42.0	9.0	0.0	24.0	7.0	0.0	0.0	34.0	15.25	6.0	40.0	0.0	0.0	0.0	487.75	423.1	60.0	989.32	1055.46	583.6899999999999	570.0	432.43	671.21	768.95	688.45	221.0	708.89	764.9200000000001
EC:1.3.1.24	19.0	0.0	0.0	0.0	6.0	0.0	26.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.25	1719.0	1652.61	2544.67	915.83	1335.6	2097.67	719.13	1168.0	1055.09	910.61	698.58	194.43	431.75	600.25	464.18	517.6	252.67	608.1700000000001	751.1700000000001	825.5899999999999	907.01	596.61	944.75	1031.74	1013.67	675.42	781.17	1017.68
EC:1.3.1.28	84.75	5303.61	68.5	50.67	103.75	20.2	2033.75	201.92	109.45	70.61	109.25	3709.03	29.25	149.60000000000002	198.67	178.87	2555.0	353.58	397.5	284.94	341.44	510.08	323.83	358.73	246.2	1145.75	459.87	343.84000000000003
EC:1.3.1.31	29.0	0.0	0.0	10.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	74.5	0.0	317.5	297.0	117.0	140.79000000000002	86.0	89.0	346.5	109.83	166.0	613.5	458.5
