function	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
EC:3.1.13.1	9056.91	8793.59	3178.84	832.67	1003.66	1138.59	437.16	1648.42	264.0	1717.9299999999998	4064.690000000001	2161.26	3040.58	542.03	5483.08	3299.53	1500.91	822.5600000000001	666.66	472.58	1196.71	2552.52	1388.9	1236.76	801.32	608.4	1294.66	1537.45	1439.78	1595.67	725.75
EC:3.1.13.3	15468.0	36566.0	38450.33	62502.4	66536.17	20541.730000000003	3525.1200000000003	43279.12	47592.93	26797.73	24587.59	32040.06	43734.19	31023.34	34185.869999999995	46675.240000000005	12267.78	29661.8	3364.95	24690.3	7213.09	13277.48	6159.32	9777.97	2394.9700000000003	3964.86	11749.07	10281.57	14294.06	11587.77	15243.37
EC:3.1.13.5	9962.58	10048.59	4156.34	1095.27	2216.66	3962.84	1863.28	3453.7200000000003	2153.09	4192.64	6151.1	3640.18	4055.37	2154.78	7009.38	3683.86	2696.16	1333.06	1388.66	1040.38	1858.38	3813.69	1734.2299999999998	1837.43	1123.75	1040.73	1564.66	2859.62	2571.02	2607.16	1041.58
EC:3.1.2.1	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	170.5	278.5	126.0	127.0	82.0	151.5	50.0	251.0	212.0	177.0	48.0
EC:3.1.2.12	18364.08	17794.839999999997	5748.42	220.6	852.0	2407.42	1172.62	1380.1	1504.42	1515.31	1909.77	1010.59	6538.79	1214.12	9317.46	2797.5199999999995	1371.82	521.4	563.75	465.1	1512.7399999999998	3593.0800000000004	1217.16	1444.92	529.76	1006.06	1959.66	2057.83	1891.53	1797.04	626.42
EC:3.1.2.20	14999.0	34460.0	36845.0	62437.0	66313.17	16407.0	3133.67	42178.67	46672.0	25538.33	23568.0	30126.0	31012.33	28307.67	33486.33	45793.33	10990.0	28667.0	2636.33	23930.0	1881.0	4493.0	2526.0	6866.0	867.0	973.0	9123.5	4016.0	7833.5	4344.0	13339.0
EC:3.1.2.21	15447.0	36443.0	38279.33	62495.0	66407.0	20286.730000000003	3375.4	43119.2	47473.6	26483.4	23943.33	31556.56	43558.93	30679.67	33857.53999999999	46362.83	12055.03	29465.3	3012.8	24413.0	2502.0600000000004	5671.35	3560.65	7689.82	1225.4	1207.53	10072.8	4512.14	9812.14	5743.75	13984.72
EC:3.1.2.23	512.0	809.0	332.5	148.0	434.0	1761.0	833.33	821.0	827.75	548.67	1193.75	470.42	380.5	510.25	518.5	212.0	959.5	417.0	324.75	335.0	456.62	660.0	312.0	467.5	252.0	331.83	187.0	850.5	908.0	619.5	246.0
EC:3.1.2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:3.1.2.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:3.1.2.28	8944.91	8484.59	2574.17	6.0	23.5	53.75	26.5	26.75	43.5	54.1	230.87	28.25	2936.08	56.7	4824.41	2508.4	307.07	14.4	10.5	29.25	353.62	1195.84	351.75	461.75	124.33	173.59000000000003	758.83	356.12	248.08	327.58	92.17
