#NAME	1	2	3	7	8	11	13	14	15	22	23	24	25	30	40	41	42	43	46	47	48	49
Leucobacter	0	2005.5755	1403.90285	2005.5755	3208.9208	2005.5755	0	0	0	0	802.2302	0	802.2302	0	0	2005.5755	0	601.67265	0	401.1151	0	2005.5755
Verrucomicrobiaceae	401.1151	601.67265	1203.3453	1604.4604	0	601.67265	0	401.1151	0	0	200.55755	802.2302	0	0	0	2607.24815	0	0	0	200.55755	0	1403.90285
Luteolibacter	601.67265	0	0	0	0	601.67265	200.55755	200.55755	0	401.1151	0	0	601.67265	0	1805.01795	1403.90285	0	601.67265	200.55755	200.55755	0	601.67265
Chitinophagales	0	401.1151	2807.8057	802.2302	1805.01795	200.55755	0	200.55755	0	0	802.2302	0	601.67265	0	1002.78775	1604.4604	0	601.67265	601.67265	0	0	601.67265
Taonella	1002.78775	0	2406.6906	200.55755	0	0	0	1002.78775	601.67265	0	0	0	0	0	200.55755	1805.01795	601.67265	0	0	0	200.55755	0
Bdellovibrio	0	1002.78775	401.1151	0	802.2302	0	0	1805.01795	1203.3453	200.55755	0	0	1002.78775	0	0	3208.9208	200.55755	1002.78775	0	1002.78775	0	401.1151
37_13	0	601.67265	200.55755	401.1151	0	1604.4604	0	401.1151	0	0	200.55755	0	0	0	802.2302	1403.90285	601.67265	0	0	0	200.55755	0
Tabrizicola	1203.3453	1403.90285	1203.3453	0	1403.90285	0	0	0	0	0	1002.78775	1203.3453	0	0	0	0	0	0	0	0	0	0
Runella	0	1002.78775	200.55755	0	0	401.1151	0	401.1151	0	401.1151	200.55755	0	0	0	0	0	1002.78775	0	1203.3453	0	601.67265	0
Cloacibacterium	0	0	0	401.1151	1002.78775	601.67265	0	0	0	0	0	0	0	0	802.2302	1805.01795	601.67265	0	401.1151	0	0	2206.13305
Clostridium_sensu_stricto_9	0	1403.90285	0	0	0	802.2302	0	0	1002.78775	0	0	0	401.1151	0	0	802.2302	0	0	0	0	0	0
Sphingomonadaceae	2807.8057	3008.36325	0	1805.01795	1805.01795	0	802.2302	601.67265	0	0	0	0	2807.8057	0	1203.3453	0	401.1151	0	1805.01795	0	0	0
