"","S1","S2","S3","S4","S10","S11","S12","S13","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27","S9","S5","S6","S7","S8","S14","S15","S16","S17","S18"
"Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma",3591,5016,15109,4950,2585,937,2485,444,490,6202,772,1418,2420,720,1156,4064,687,1498,356,591,391,566,843,213,951,229,3014,1161,63,245,120,113,2940,133,135,90,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,0,54,210,1451,12,9,38,15,0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA",0,0,0,0,0,0,2,0,0,3,4,6,0,0,0,1,0,0,0,0,3,2,0,4,0,0,5,0,0,0,0,0,1,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,11,3,0,2,7,8,3,0,9,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides",8467,8192,7329,8478,5688,2813,7994,2274,23048,7870,6058,15043,18699,3666,5724,10773,8308,5946,7671,6445,7920,2873,5997,9073,21862,9340,32849,7807,6894,3973,8553,4605,4632,5381,17829,7627,11896,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,5130,5420,1184,859,4253,5202,1803,6134,3001,5845
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Candidatus_Arthromitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,107,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,181,43,30,376,71,15,177,76,55
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cronobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,644,3136,0,214,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group;NA",2653,1448,3752,3299,621,2607,1118,513,1780,2413,4539,3195,2781,1287,2245,2995,3398,2138,1314,1081,1772,963,1360,936,1930,499,4409,1352,1825,2664,3465,725,2469,484,164,467,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,980,1902,2802,1855,1048,1243,1400,1065,725
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;NA;NA;NA;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Family_XIII_AD3011_group",27,23,29,21,9,18,24,19,0,64,44,38,62,68,66,81,33,65,83,38,100,60,48,51,29,28,8,42,41,24,13,76,38,35,14,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,21,31,35,34,39,42,27,56
"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;NA",10,37,64,25,7,5,57,24,0,0,0,0,0,10,6,6,7,3,72,52,85,33,35,0,0,0,0,0,21,14,46,32,0,9,8,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,28,51,66,28,35,23,36,52
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-014",1415,3784,2193,2293,1200,1201,1120,627,274,2112,6683,3595,6500,1175,2183,2172,2982,614,5253,3485,7522,1220,3727,6402,39,997,219,1904,1223,1328,944,1800,1028,1867,253,9485,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4363,2544,2116,1750,3747,3041,2639,2602,4801,1884
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",25940,29942,14202,39220,12668,6776,17653,14403,13591,10775,13826,41258,27268,8817,22887,18116,23991,26188,31274,29350,19234,22985,23980,28377,1829,14386,12270,19285,9771,15429,12881,13404,16513,35434,33396,39963,49576,73333,36379,93957,69683,50555,63065,71592,101383,60401,63764,62506,53715,40242,43661,56466,58388,30522,44540,20742,74,41566,10958,8940,15157,6503,23042,12401,6199,13885,17261,9658
"Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Delftia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0
"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia",0,59,0,26,13,0,43,0,301,1072,350,263,425,21,46,49,50,40,71,87,77,66,64,1080,60,389,149,610,25,0,0,0,20,37,27,25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,23,0,0
"Bacteria;NA;NA;NA;NA;NA",3,2,0,0,8,113,8,32,0,0,0,0,20,0,0,0,0,0,0,143,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas",872,623,468,783,606,1410,1052,950,955,1951,1062,475,586,1422,1042,1066,925,520,334,341,566,196,321,1486,1585,1426,574,278,500,377,300,395,310,369,301,598,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1729,888,1191,768,660,959,456,550,1615
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus",0,0,21,0,6,19,11,34,212,209,9,43,144,72,14,95,18,56,191,156,193,36,437,24,654,156,160,46,6,31,143,13,169,12,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,181,344,823,348,556,666,635,126,337
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,141,433,370,206,1210,527,979,307,269,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus_Soleaferrea",95,59,342,99,176,121,216,227,183,368,364,86,177,191,181,82,216,65,84,62,137,20,43,29,443,171,494,75,95,77,162,132,262,112,135,120,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,152,108,157,128,122,184,61,137,90
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,26,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella",0,0,0,0,0,0,0,0,0,0,0,0,0,129,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
