"","1913-12","1913-16","1913-4","1913-8","1913-B","1914-12","1914-16","1914-4","1914-8","1914-B","1915-12","1915-16","1915-4","1915-8","1915-B","1916-12","1916-16","1916-4","1916-8","1916-B","1917-12","1917-16","1917-4","1917-8","1917-B","1918-12","1918-16","1918-4","1918-8","1918-B","1919-12","1919-16","1919-4","1919-8","1919-B","1920-12","1920-16","1920-4","1920-8","1920-B","1945-12","1945-16","1945-4","1945-8","1945-B","1947-12","1947-16","1947-4","1947-8","1947-B","1948-12","1948-16","1948-4","1948-8","1948-B","1949-12","1949-16","1949-4","1949-8","1949-B","1951-12","1951-16","1951-4","1951-8","1951-B","1952-12","1952-16","1952-4","1952-8","1952-B"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",81,130,254,105,96,122,219,195,86,30,275,192,77,67,38,128,72,76,62,62,0,135,38,122,264,44,31,114,44,83,60,155,402,110,194,84,318,61,97,367,607,75,296,1603,67,1227,447,184,2227,467,1273,204,282,1425,127,452,69,840,725,136,1561,81,1523,1357,594,944,132,380,1510,324
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,912,5718,171,0,708,1019,2857,112,0,697,0,426,1056,0,2663,0,9156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium",131,105,157,218,388,173,58,95,1208,256,59,36,213,22,17,23,37,159,158,92,150,32,867,8,552,39,341,436,0,311,158,44,71,38,0,81,33,108,67,41,0,12,2732,24,1560,0,94,0,0,1672,0,59,228,0,736,298,18,80,497,715,818,329,97,601,1434,953,1025,60,692,1964
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",952,11,6,0,36,279,21,32,3232,37,102,57,9,1159,0,35,9,10,2428,0,11,16,4473,67,0,21,20,3130,727,0,21,123,0,259,0,15,212,529,132,0,49,53,122,14,68,68,65,630,31,123,75,31,158,10,52,123,66,117,101,92,123,88,342,81,298,100,415,87,444,711
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1",2492,90,0,0,0,2271,183,11,3,2,1427,177,7,0,0,5419,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,480,1259,75,55,234,81,1708,25,79,128,513,1147,65,1069,0,224,219,57,13,14,323,776,183,207,16,203,464,100,25
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium",0,81,106,0,182,0,237,465,0,423,795,269,157,82,237,0,67,47,0,213,87,29,135,0,1414,284,329,1111,384,827,111,0,553,189,2029,870,0,266,120,448,662,0,125,543,184,1217,56,185,384,371,850,44,83,332,136,268,116,214,378,145,208,80,471,13,493,149,347,99,627,1119
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",66,88,31,823,484,121,127,85,839,1207,37,403,442,139,384,62,0,27,847,385,0,0,0,423,1074,0,53,0,889,1249,0,0,0,156,953,0,0,0,412,257,1051,0,917,581,21,1810,0,732,378,763,1361,0,585,520,380,0,147,17,0,222,0,0,108,19,336,0,0,54,5,109
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,1135,170,821,0,227,856,159,116,0,0,577,736,235,297,260,409,146,276,0,1160,0,0,371,192,447,0,0,987,0,1016,662,182,892,449,1960,154,0,741,257,467,34,801,199,447,392,0,968,39,0,0,0,37,193,0,137,48,0,453,0,331,92,38,492,0,202,209,34,572,62
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group;NA",421,31,59,196,209,119,0,20,517,118,65,43,99,383,645,46,78,55,2153,262,0,0,3995,0,182,150,87,3252,39,229,89,85,55,240,17,479,523,5015,52,1489,0,84,0,0,0,0,116,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,3946,0,1975,0,1591,2613,0,2102,0,2872,2816,0,1374,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,675,0,67,0,0,0,0,0,0,0,0,0,254,566,55,0,261,0,1793,1819,0,421,0,3198,0,0,1317,0,3008,0,0,785,2337,0,162,0,0,0,0,0,34,0,293,0,0,50,11,7,0,0,4,0,0,0,0,62,0,536,0,0,0,0,1610
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,0,0,0,294,0,0,0,0,142,0,0,86,0,0,0,0,0,0,398,312,0,181,490,10,63,0,147,223,122,119,0,865,119,0,38,0,214,154,268,1532,130,0,326,0,229,386,340,15,715,879,169,164,112,626,78,130,747,110,710,18,21,2190,482,1339,30,94,1108,342,1434
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",870,0,928,266,598,0,0,316,0,439,0,0,429,0,265,1570,0,489,77,410,257,260,0,162,239,269,86,0,79,514,230,136,8,58,238,118,121,0,177,415,851,200,880,62,444,133,109,1233,35,116,37,670,426,144,359,152,101,642,58,259,54,165,221,22,59,309,165,353,50,171
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,853,995,3523,781,0,228,2008,4278,1753,0,0,301,1575,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,0,0,1035,373,0,37,89,0,461,1021,95,0,1101,0,0,58,0,0,0,139,3159,513,163,60,231,1255,491,110,0,256,0,565,691,0,368,0,53,0,0,48,174,44,0,229,90,896,0,0,64,293,45,25,38,18,233,177,212,0,30,511,0,35,601,481,41,590,95,204,35
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9",536,303,245,359,208,322,237,170,395,107,205,287,113,374,62,247,160,455,915,234,124,386,598,90,147,151,364,525,138,144,136,190,162,112,127,250,640,1607,63,195,384,520,223,304,148,241,364,307,255,80,268,131,341,168,178,110,48,141,47,43,64,34,260,105,146,52,121,65,149,101
