pathway	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
COA-PWY	50912.27932927485	73091.62516845531	51233.62092209632	59227.41433867381	78183.95549356677	54542.76579360269	24401.303597214293	15267.499803529912	17477.365963021744	23954.45530922184	46007.42543293607	40615.4077842064	34874.79187013447	35568.012735731085	32085.928936288325	42694.82342745359	32816.50583823885	30159.88470808329	26574.55848488384	21597.5827298521	34653.7016208004	32405.36828070007	28601.842707769432	24538.20620276677	36160.93985819418	31784.7492203387	26002.32089583625	31462.470436220472	28987.57272255952	27024.29971310717	35273.26910472141	25735.07834971144	29740.00389361412	35286.787940406226	33607.81557582349	32883.277289352605	31181.437481460627	41288.38550291491	37924.85438430981	33100.47635382608	29575.37168238744	34129.17109438237
COBALSYN-PWY	8200.329384330995	7263.047417119397	8144.761836334941	7449.897110340379	640.1425779632079	9176.288006111125	1727.1812722955272	3614.643201530291	4012.5938464890687	4192.505373101905	5673.5900008794	123.29029575959142	887.2044491276268	1119.4673124782369	2874.959776328487	2276.011911614712	1007.9624712996656	1192.5395412574558	767.0821771059332	2181.0609865999395	3139.626016890351	5911.489268770709	8590.1859034155	5595.662153835597	4781.488765821679	10455.4587859743	9925.195430404134	4864.671691740806	5821.904741574222	10829.715890059537	11586.465488048509	5319.90523851706	6488.369273114296	5499.458949573172	7887.752912598271	12402.009723100571	8593.834297732727	17895.382858487377	8245.988986688908	4875.316813179648	6887.640332023771	19664.672893254254
CODH-PWY	0.0	0.0	0.0	0.0	3.999899167501686	0.0	0.0	0.0	0.7999761388124585	12.99566886111037	1325.8928206259147	0.0	0.0	0.0	0.0	0.0	0.0	63.93071015326319	0.0	0.0	11.997951055846537	47.96079611119203	389.1674702957103	309.8048315174815	0.0	328.8578130379994	51.54229368805788	49.95636769813428	261.25740252559274	0.0	25.98989038848126	320.7968900297552	47.95846255193533	1304.4673842033103	127.52476409323432	418.18848140464735	583.5480942206938	780.2821961282133	618.606610904898	241.4780146117346	447.4343972192668	576.9344399977506
COLANSYN-PWY	15515.77118710023	14468.292506425552	15451.120189923942	14694.52066538414	2247.990059540831	17204.370139566046	3999.168203624198	6368.082132746731	6875.530884238379	7004.8333842766615	4537.739194585255	191.51457209264169	1155.7783391876858	2584.237387409464	4311.038109155953	2681.116701334314	1234.6699203902715	1586.4371857954534	316.81607324078414	12155.037670899805	4868.655822518352	16678.709515446302	16832.606140127173	15567.340635562548	13527.339849848007	17275.13639385164	12197.52875529732	9864.176980032296	12084.686126783432	19645.96027719372	17578.424013123684	12994.156877749112	11402.999894951718	13224.28653545354	13293.512807766252	9828.414971301454	11315.376046312873	17483.24943705574	9839.654462485176	12240.480148062592	13486.639521250472	12043.870517432626
COMPLETE-ARO-PWY	12201.135428115624	10643.622425931806	11711.519153925969	11163.81446750734	7116.101819589618	13443.315483257253	5580.560372217137	5312.631866418185	7223.837106317571	7894.438489354383	12201.526772885958	1305.768789261676	2816.486195359972	2880.71731084174	5976.0388699396	5179.149830638948	2618.8981738358707	3597.465224085814	3625.218240945804	16777.92328682813	6466.928807141269	16514.766890247934	16877.644167452756	14264.498066733971	15625.03587789788	17649.082935898467	14554.455958125598	10954.156773813493	13812.45463980066	16674.621958833523	18326.69191228965	13632.542303224604	14308.811974225446	15764.4038273373	17319.113866968954	21186.02679790037	18084.521091070943	32001.73520328653	16854.32146251534	14914.782390374568	17896.134929715696	31280.100816859624
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	31.40461444907228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	26234.260357094983	26282.026707457306	24575.885407248803	24564.97673897641	20620.91981026479	28368.300633824754	11664.491436328748	9324.160267371466	11177.095132560216	13277.642361704726	18816.33802230548	11779.194266325148	10841.758719217429	10417.016990877752	9604.172208944206	11249.888480257743	7630.51019116027	8309.119460700926	7789.976097208712	14440.075173392925	14262.41999253122	13280.343200314135	15133.356323724924	9807.41910049507	18476.725183618462	17399.312265903674	16458.214543349357	16418.59172677609	18069.32076942742	8009.676771120522	17652.057828098863	15594.626175381649	16595.98820044678	17589.310345645183	16924.962188745805	23302.7728382749	19672.1172291044	32513.839459490508	19860.972960128955	13629.928270053122	18481.792739589804	31057.78609419972
DENITRIFICATION-PWY	11.615519049283469	14.218072510106284	8.615384615384615	17.302086510692153	29.69529893125004	11.63475184326851	0.0	0.0	4.5299455535390205	4.745247148288974	12.0	17.181494661921707	37.0	18.0	9.158642462509864	22.0	7.0	0.0	35.0	0.0	40.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	8.0	0.0	0.0	3.0	0.0	7.0	0.0	8.0	0.0	0.0	6.0	0.0	0.0	8.0
DENOVOPURINE2-PWY	55986.67741864744	80389.36838568698	56460.18872763837	65134.02408745502	84550.78212639247	60125.72905297075	26840.268799221525	17744.817342862883	19437.17153328213	26442.371140470168	48992.67199155788	43781.72263027562	37553.20183497137	38464.84837152143	34873.01410954259	45857.26220288892	35424.24621712609	32775.88885166647	28934.740996358563	20878.969370555023	37259.74591501162	32684.33093002696	28787.320368826982	23984.50646338701	38032.39647193561	33710.11826138539	27972.34379560173	32997.42332231315	30837.44254892643	28146.6783713697	38371.14532776183	24417.947579700944	31706.646911085794	33350.34268494314	31499.780967521187	30951.085941028185	24291.589611376003	36255.62113323632	38549.707873696185	34851.19041806071	24422.85506500322	24437.92402783265
DHGLUCONATE-PYR-CAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.705035971223024	18.59375	40.64041701573117	22.321008715328727	14.917729270986126	24.264705882352946	11.539953452288596	0.0	56.23184560937728	0.0	49.65247610773241	0.0	0.0	0.0	20.867768595041323	0.0	11.239733319813425	0.0	9.993063383334778	0.0	0.0	3.748631773027564	0.0	8.111979166666668	0.0	10.62377874643018	0.0	0.0	7.268041237113403	0.0	0.0	9.462365591397848
