function	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
K05982	7624.29	6788.83	7556.25	6818.6	153.18	8544.17	1624.75	3434.67	3374.08	3218.25	28.75	12.75	19.0	543.17	1086.03	120.25	422.0	669.0	591.74	2.75	1388.75	17.0	0.0	0.0	9.25	2296.0	2454.25	2357.17	2873.25	0.0	1614.56	2051.83	1455.51	52.25	30.75	160.25	35.0	255.5	151.0	89.0	14.0	337.0
K05984	7577.29	6742.5	7526.25	6742.93	33.18	8503.17	1624.75	3434.67	3369.08	3215.75	19.75	12.75	19.0	543.17	1074.36	19.25	418.0	669.0	591.74	2.75	1388.75	0.0	0.0	0.0	5.25	2296.0	2454.25	2357.17	2873.25	0.0	1614.56	2051.83	1443.51	15.25	15.75	4.25	0.0	4.5	41.0	0.0	0.0	5.0
K05985	40896.0	63312.0	41180.67	49502.0	73876.0	43585.0	21143.0	11671.0	12800.6	18999.1	38756.0	38764.87	32699.800000000003	32689.07	27539.37	39080.13	30454.8	27663.5	24135.37	7969.94	29836.3	18678.0	14260.5	9576.0	22193.05	16541.0	13886.5	22682.1	18376.5	9678.0	19986.13	14279.5	18736.6	22266.5	19772.5	21490.0	20262.0	20847.8	28921.5	22224.5	16055.0	13306.0
K05986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05988	6.5	6.0	10.0	6.0	8.5	7.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.5	0.0	0.0	0.0	0.0	182.5	0.0	408.5	709.5	292.0	0.0	20.95	25.4	77.4	0.0	3235.0	379.65	93.35	2.0	178.1	120.4	102.0	233.5	272.0	44.1	33.4	138.2	6.6
K05989	75.83	104.0	124.0	118.0	198.0	135.0	90.0	12.0	95.0	230.6	962.0	41.0	57.8	375.0	996.0	102.0	0.0	0.0	10.0	973.0	39.0	6712.0	12752.6	9246.0	91.0	18859.97	11020.4	2273.4	88.0	57725.0	12617.65	644.35	107.0	2924.3	2545.4	3881.17	4138.0	3039.0	1179.3	455.4	3386.4	944.6
K05991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05992	77741.0	123895.0	80296.0	96527.0	130638.0	83136.0	38510.0	22444.0	22870.0	34164.0	63177.0	70682.0	58957.0	60903.0	51918.0	69885.0	56525.0	51193.0	44850.0	10750.0	52309.0	29022.0	20220.0	14435.0	41838.0	29227.0	25101.0	39009.0	33104.0	9466.0	35624.0	20313.0	33707.0	28017.0	29117.0	26492.0	11788.0	21772.0	45842.0	36566.0	11930.0	12460.0
K05994	0.0	14.0	5.0	0.0	15.0	0.0	6.0	14.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05995	7647.37	6783.17	7584.92	6825.6	141.05	8566.5	2316.42	3505.5	3572.25	3633.11	19.75	15.5	39.85	543.17	1327.86	19.25	419.25	671.0	591.74	244.42	1391.0	2917.51	1994.79	1892.66	166.25	3271.0	2614.25	2396.92	2945.25	4234.67	1769.56	3202.83	1925.84	1543.0	2637.5	1209.5	1922.92	3411.0	1134.67	1436.6	1627.0	2391.33
