function	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
EC:1.3.3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	4.5	9.0	4.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	36.0	14.0	96.5	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0
EC:1.3.5.1	15763.0	17430.84	11345.0	9581.5	912.5	2072.6800000000003	12170.66	17403.66	24011.78	25080.84	29308.2	23352.06	8862.93	9428.34	9651.14	13536.54	10013.54	32134.82	8740.68	6210.84	42321.16	6018.81	29532.02	8018.46	14269.58	40551.5
EC:1.3.5.2	5176.5	4971.17	172.67	205.42	85.42	1304.34	3972.66	3745.41	5053.31	5139.59	5522.77	5855.530000000001	2152.32	3112.49	4438.0	2254.25	2038.0	3473.75	2598.01	1465.2600000000002	3052.33	1528.5	2196.09	934.75	1502.87	1265.42
EC:1.3.5.3	5173.5	4971.17	22.67	22.42	24.42	1036.67	3906.66	3730.41	4999.31	5133.59	5509.77	5838.530000000001	404.33	1739.9899999999998	4126.0	2018.75	1618.0	1992.75	2315.01	1446.2600000000002	2027.33	1435.0	2718.09	875.75	1453.08	1149.92
EC:1.3.5.4	33779.27	35490.119999999995	44020.53999999999	44786.53999999999	29577.6	26357.69	32272.72	41081.83	38908.79	46136.22	47671.99	45627.65	12528.12	18904.25	21832.16	22371.54	23789.4	39397.78999999999	18483.43	15559.56	49724.16	14821.13	34898.6	15304.490000000002	21523.54	47294.5
EC:1.3.5.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.11	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	9.0	4.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.7	3.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.8.1	0.0	56.0	123.0	183.0	7087.34	339.34000000000003	2478.0	377.0	60.0	98.66	846.34	35.0	5829.5	8834.0	3033.66	7875.0	3238.0	1023.33	1150.66	2838.32	1656.5	8080.98	3390.34	6870.32	1306.59	1537.32
EC:1.3.8.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	24.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.8.2	2717.5	3772.5	5505.5	4576.0	387.0	739.0	1949.5	4938.0	6939.5	7404.0	9132.5	5817.0	113.0	760.0	306.0	2093.0	1105.0	153.0	1258.0	1426.0	637.0	600.0	162.0	701.0	1261.0	696.0
EC:1.3.8.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.8.4	0.0	0.0	147.0	183.0	61.0	264.67	66.0	15.0	51.0	6.0	13.0	17.0	439.66	497.5	98.0	25.0	0.0	0.0	73.0	0.0	13.0	0.0	5.0	5.0	18.5	6.0
EC:1.3.8.6	2717.5	3772.5	5655.5	4757.0	448.0	1004.0	2015.5	4953.0	6996.5	7406.0	9121.5	5834.0	1103.91	1564.59	519.0	2128.34	1101.0	155.0	1486.0	1369.0	639.0	612.0	185.0	716.0	1285.5	712.0
EC:1.3.8.7	0.0	0.0	348.0	423.0	165.0	655.6700000000001	171.0	30.0	108.0	12.0	26.0	34.0	1112.4	1043.5	312.0	147.0	0.0	0.0	208.0	0.0	38.0	0.0	5.0	10.0	42.29	0.0
EC:1.3.8.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	355.16	278.0	94.0	14.0	3.0	0.0	118.0	0.0	18.0	0.0	0.0	0.0	32.58	0.0
EC:1.3.98.1	11541.77	12912.44	42943.7	44654.53	32758.26	26568.67	13177.240000000002	21520.35	12317.17	19991.2	16693.9	18032.67	951.2	2201.1	2443.27	2641.0	10787.86	17083.800000000003	5799.06	6759.200000000001	21869.34	3834.32	17345.239999999998	5168.530000000001	6466.8	21027.16
