pathway	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
PWY-5181	0.0	0.0	0.0	1150.3611939967384	43.65862677302052	0.0	0.0	0.0	561.0275127641495	879.3888290116021	813.6435310482611	0.0	0.0	406.9103870402424	1417.0068430412173	26.229921418482785	0.0	0.0	0.0	0.0	46.95337186332156	18.1559125959773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5182	2287.819667529949	2587.4527650123496	5294.512529291309	1157.9486106936656	0.0	591.5846686214732	50.29380666134132	72.20182625517225	656.9275847743628	968.0620629696152	981.7109727772852	4260.850233745876	1817.836763694248	4335.99532689902	1444.9987826805996	98.35990803989404	719.3573971136541	101.62215701367798	56.74562047859808	122.337012496195	4041.613355891852	4024.9372456524334	4158.382100456548	3869.249513206174	844.7672296053129	2147.520176183886	2071.62638995854	628.9468639940777	764.354128918867	388.9294681414753
PWY-5183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.670743519607203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5188	2021.459157700407	2555.5467075448414	4523.788712001675	1413.143195076383	2311.1874286309003	3171.8205042241134	1582.079746238987	2156.698444566712	1227.7352829432532	1567.7823763782917	2126.381842855372	3640.947801541945	2839.6826921237043	4585.826106972319	2305.94229577792	633.0281312488454	1419.9272884390032	1041.7812057877484	432.1903315900034	6162.395813900211	4292.273013467213	3984.321582203663	3560.134975047431	3372.989255426724	3121.6973840350825	4205.5937563195175	2458.82516500545	5836.110318681142	3493.091334916587	3798.540592406524
PWY-5189	2015.33	2532.136173011365	4517.765834853258	1694.7480805578618	2327.290927749599	4205.589032491691	2096.776226988691	2753.7022534359853	1226.9808852908295	1509.823065658176	2078.285907358308	3640.600532484269	2752.5399057946	4452.5338353110665	2427.660505646072	636.9655130470943	1380.914172840144	1062.9260718375335	432.1733793666237	5915.012027652664	4360.521414474564	3982.075360149156	3557.865728972915	3370.95342268498	2916.9676203667223	4025.3186492408345	2455.335301910442	5590.407952345701	3412.903511838095	3753.191863061524
PWY-5198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5265	0.0	0.0	294.06061769671385	0.0	0.0	4854.626827458503	613.7334393883351	344.73947345352246	3571.709366719972	5870.482209297966	6539.899555510504	341.0165902919045	2720.1399082270286	364.0875365777368	583.8350738224343	71.84370387581173	1007.5320002782238	4804.002158794178	450.2529362701504	7347.213669586907	0.0	0.0	0.0	0.0	871.2622326907829	4027.955289188607	272.51077363087506	2880.8004449861387	0.0	2696.0227477224576
PWY-5304	0.0	0.0	0.0	3.0	0.0	0.0	114.8	0.0	0.0	0.0	0.0	0.0	0.0	87.5	241.5	0.0	75.0	0.0	2.0	182.5	95.5	47.0	20.0	6.0	19.5	89.5	36.0	4298.0	6.0	10.0
PWY-5345	1484.0064389758827	2752.227362868425	3135.196331745384	1796.0319459332818	1552.4557373296427	455.4399333888348	492.922995588502	284.2051288438668	1446.9101911204643	2013.4575626415867	2177.018185154649	2167.88788046237	3528.98793781563	6429.584756138112	2831.225486546021	321.5777176155003	1258.3131382387842	314.22030894451257	128.3155338918918	499.7722819539684	5410.727088931274	4941.922292540416	1963.207046364269	3164.418322927294	2090.5251877842225	4386.065519173891	3045.2075090010903	2230.9290339627623	1508.1550552471344	1072.3133733516618
PWY-5347	4147.7767866654	5845.467376038982	9257.001327980466	4212.272675891329	5040.771162672901	12581.991559654449	6347.7778665865335	6742.12010027753	3630.889538102506	4752.283430326367	4923.015417449756	7530.091368923578	9038.997030917782	10680.96035618283	8056.331622419092	2028.897140965768	4537.223886461147	3866.207148208915	1630.256504932969	3039.2117181128974	9333.850847426478	8326.388340707788	6893.376195574316	7263.291471973948	7886.673227590109	9463.737698303396	6813.89000557366	4150.323054581005	10322.218874861604	7488.972922013878
PWY-5384	3252.167356418071	3795.350712068916	7718.053497504547	1994.9685757841423	4128.066121130453	5197.55675494219	1393.0994795312165	1094.033988360531	1140.041184833418	1579.796862146842	2686.160075732246	6055.650240793122	4125.682036729284	7245.323911376105	2166.30169589806	1032.7619703720195	1780.8202837581182	603.262625123813	675.0061843334134	2048.735241764424	7856.142897241983	7378.564685529462	6014.030868635654	6654.8688652555775	3264.617167013292	5178.503887848448	6058.560277824958	2461.793315740437	7288.686686126069	3119.4630284327823
PWY-5392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5415	62.24097965991943	47.035131695611526	123.4158737503548	136.6791672973292	0.0	74.53210888722272	24.64230542548793	62.78040477272489	588.3250239836533	886.8670555677146	853.4136152541626	261.5999517131863	914.8854868517532	238.65657651381548	259.8837154603242	69.03157364342434	131.10360328382572	47.0360755717572	25.80787406479413	65.6889992878422	350.4811735787851	61.48278060683749	304.7495752820921	597.3894114964596	425.2923916417813	232.1772423883965	111.66571786589154	576.5607559900102	613.0005504834785	326.48119996570455
PWY-5417	0.0	0.0	0.0	955.516104881168	45.214895053835065	13.387994143484628	29.0	23.855421686746983	462.9315960912052	729.8181818181818	675.8025566036531	0.0	47.73535492763612	317.864538165136	1177.4995365099064	79.88269214927095	21.46392272154557	39.217665615141954	18.44759825327511	0.0	12.751434535821334	8.885204187115466	0.0	18.64903833992428	0.0	0.0	0.0	3.5950555110449818	17.20772071632639	0.0
PWY-5419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.977732225787416	0.0	0.0
PWY-5420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.39436557321406	0.0	0.0
PWY-5430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.636690469421256	0.0	0.0
PWY-5431	0.0	0.0	0.0	955.516104881168	45.214895053835065	13.387994143484628	29.0	23.855421686746983	462.9315960912052	729.8181818181818	675.8025566036531	0.0	47.73535492763612	317.864538165136	1177.4995365099064	79.88269214927095	21.46392272154557	39.217665615141954	18.44759825327511	0.0	12.751434535821334	8.885204187115466	0.0	18.64903833992428	0.0	0.0	0.0	3.5950555110449818	17.20772071632639	0.0
PWY-5484	14298.453532375675	25128.900330957324	32203.022888739444	16863.216169193478	27219.920321113645	34265.61772885592	18057.71198543711	20487.109317697104	13206.467788465348	15506.945329309716	16974.6777197946	23972.42974366113	26925.63497244663	31654.342197495265	21840.52870067565	8975.796601825366	17834.218790722844	11622.095371464518	8365.4264689935	24582.31229737872	25547.38860755952	20348.24888661468	18440.50676475897	18465.58281568181	20517.639482959257	21945.001369151138	21200.34133401136	21804.50640851273	27179.479397544143	19930.28429273807
PWY-5499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5505	602.3471580843866	1503.0924176707997	1207.4862845972443	1997.8703021497404	563.9380279261045	8795.584547697043	3137.823167753804	3815.084624245541	1292.2878743145416	1696.4097659386807	1460.4877801448065	430.8455136338434	3526.562031504502	3972.882370102644	3166.3628502853653	139.27957677133884	1067.2060841128782	1179.7403699201386	147.83056622620876	12249.103112743622	959.1409468624064	1412.30181670875	259.2882854951584	14.983592052989396	3850.088168470241	4598.2492992286525	100.89204412604526	13888.230413967856	9497.986878463564	5644.364025008026
PWY-5507	0.0	0.0	0.0	241.2112698796805	0.0	0.0	0.0	55.50238506820364	77.76411731722833	0.0	179.8823240832593	0.0	77.90028310107806	42.21898422198064	178.31993415912677	99.93672568328556	123.62421774207952	261.1424959922951	93.03978112429394	0.0	217.26454588354056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5509	1108.0131531857703	1941.749853047612	2318.154242460536	1708.8862800459829	1307.1012669113393	5609.026263173555	1980.9643262760203	2240.204327921762	994.8682842641152	1170.167635924664	755.3932371168222	1450.8175030363388	2819.730740554821	4676.331121552011	2742.7147885387376	204.3567716241701	1001.4453886438243	872.8368799578844	119.49563660714136	2091.0930685155613	2916.8267031137884	2508.5079628868675	790.3406850703437	273.79561155401984	1177.684565955088	1924.8982349505325	420.3758152969445	4761.717746588443	4646.208433216457	1650.882609602746
PWY-5529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.922171214513938	0.0	0.0
PWY-5647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.33093994170182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
