pathway	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
P241-PWY	0.0	0.0	0.0	0.0	0.0	5.999288216244795	0.0	12.000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	4.158605215756912	0.0	0.0	0.0	0.0	0.0	25.662488809310656	43.16476345840131	32.88519637462236	0.0	0.0	0.0	0.0	58.31166419019317	0.0	16.656569107012267	16.333333333333336
P261-PWY	0.0	0.0	0.0	0.0	0.0	16.09273799135389	0.0	19.61290322580645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.02927700460524	71.41894547700602	44.24870258681147	11.886657011523203	0.0	0.0	9.205451492612006	86.06626517762967	0.0	29.576902669040148	15.673469387755103
P281-PWY	8827.834935435334	8413.42167052125	2682.017477485841	17.539257981018118	82.68574297188755	207.1757410102436	107.05973588930668	144.34564073164873	241.55202411798587	106.81527914584557	400.3536302443317	126.9157712970069	3087.962498347841	102.00863743523831	5073.449575481495	2539.611055449481	362.6824560509524	30.29391891891892	23.238218486533583	6.342058221397536	258.68983390955	1212.3410306932306	355.03055539294047	400.9176064769837	104.72853874850426	157.50675898424234	744.8770784258662	250.73362178507668	166.03993366326208	309.3376964413136	82.77420355812991
P341-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.49444895062432	0.0	0.0	0.0	0.0	0.0	0.0	18.72851697324869	0.0	0.0	0.0	0.0	32.38611360312151	0.0	0.0	0.0	27.46962982890204	0.0
P381-PWY	108.84053883844416	219.74609164314435	318.86292313575376	50.41014546077957	343.7671157587544	1003.657075331662	528.5565546244167	361.32959798342574	555.8272813487332	791.5715543458555	1155.513956179724	511.0867878561865	312.38679340712736	701.4189018000501	1895.248859922974	795.1935021831755	1239.28575019181	360.5776953132057	559.9525313346369	477.06226176770446	1396.1871886457357	2149.290844248476	793.7491757434017	779.0190857654094	324.4971330621992	872.0554432682306	518.1478573377431	1997.086801826899	1644.855697766713	1765.5523831466412	433.77635005755536
P4-PWY	17761.6246620675	23295.30009017582	11771.902938977635	3458.013575450011	5871.529898572973	11344.023551731832	3392.173434753603	9835.050014878929	5915.035934467258	8984.633792211776	14118.757924931318	9038.756110405368	11669.00589717885	6955.759039794849	16373.07407945576	12164.690430409864	7467.493291929929	5173.272241163594	2969.3267858303698	3748.457401483472	6677.520662739614	12627.545406378144	5795.732106614195	6721.648916023325	2702.714161339344	3889.514143967488	6328.470737568673	9368.920535491889	10177.649359640156	9921.192066017013	5230.4555192815
P42-PWY	14439.481876963308	15858.816723425396	5772.580978206238	161.14019866532587	932.334314686492	1707.5897843422797	1217.811858790179	1204.9227101482204	1339.9646250345688	2520.224374848972	3917.412848762882	2090.109266996143	6560.494852472598	1905.512023326913	9757.01848633793	5514.250262091511	1619.7187821630196	1454.2490869516753	1374.1831742578884	1357.9163154292878	7669.336994001273	14002.620262491926	5174.149534754595	5129.06688365796	2531.768355186516	4368.668284969396	4761.728123542991	10433.658715079504	9108.961517422778	10363.230050925986	3354.023118145166
P441-PWY	29865.80183887371	44607.76140520193	26527.55851350928	10640.675329203284	15750.953077599852	13904.359588189169	4057.155644560803	19757.649702777733	10304.676846007407	18863.09863510061	24436.090371434333	20502.17639976451	27084.322721172844	10335.911708633752	34289.23256219584	28317.953173701186	10382.938319506631	8851.749184094235	3741.906395797259	6357.960164556059	6548.509059267204	12990.492531813949	5731.39379942792	7848.23869720488	2620.507750089028	3581.819491315084	9038.35086540813	9541.58087125872	11395.937917758887	10003.35622495752	6405.251619622652
P461-PWY	27592.755207164704	40014.15632979619	19651.468135943964	623.2035670988104	1753.988851497889	10615.121942874925	2378.696881568664	3441.254967774528	3438.3003677832685	2389.218704843502	5288.258329396723	1919.2503324365548	21683.75386135852	7261.821216732494	25579.251584539576	17457.456357013114	4481.076548976174	2187.6950535889514	1417.1836301111175	1544.7213076010214	3495.4055926535407	7062.843281452169	2901.725944810836	3722.137858729867	1510.52445134623	1958.9161765119743	4327.228386787463	5147.424922112902	5530.500457422471	5200.727502808269	2423.2654912605744
P562-PWY	824.548146018971	1374.1594943285131	1280.0655151608785	1048.158379394246	1825.963009236428	3360.1159794775044	1563.5081016551198	2897.874291352123	1528.6408144665238	3178.53939705434	5765.670475646751	3102.064657926416	777.0177127836754	1529.6397741022406	3248.427908608712	4288.50852191985	2745.767240178526	1266.3724637344783	1159.446315712965	940.0868592127284	833.8760609742344	1368.5281048415693	1041.453326515825	1121.909506004777	871.5800018774388	487.18269970861417	603.8687985199964	1376.6605395941613	1681.37370909567	1452.7405988676005	676.7001779881085
