pathway	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
ARGSYNBSUB-PWY	11469.678644223384	8426.20516930632	7386.670784170404	12882.903268741917	7567.035982144981	6315.541209037834	8444.503972880062	4353.344514248451	2791.830136551362	3214.9408500612167	7260.60262516534	13022.730080277675	5748.554052809461	5902.328130676075	9900.562332662908	4509.759388580221	5762.768009469692	3505.8631448447977	2442.684150960933	1970.7297962660248	4030.382895023699	2988.019720552481	1790.5761537229102	15931.573704496312	4134.547128251933	6322.273691077384	4859.532683671845	2943.2726256985457	9128.68404114971	1516.3122876934465	4328.712283145039	3883.376224373568	19890.39342656056	8007.794883927189	17508.75155860661	6870.567598848316
ARO-PWY	5829.26168282328	4153.1175602880885	4253.988095153061	7824.601041882271	4303.707398622393	3132.887727890881	6036.72176477986	2307.469926146673	2129.487580438834	1794.8276923244498	7716.626762417439	13669.446830865185	5918.584007617756	5242.353179556992	9852.136013189833	2814.022488546681	3863.588075034191	2065.952087851392	1500.2236008509674	1720.476283967027	2906.5619154750734	1830.517649569235	1126.046671572551	18011.34697132056	3245.1802222274573	5355.526263955991	4004.4847175990135	24591.871770060305	23467.87996182564	14805.25836669778	22359.18005347357	17176.748988447074	21645.9490176207	8082.327166590124	24193.44920502879	24429.669646468537
ASPASN-PWY	4805.420798942075	4564.355561585379	5488.237636474938	8761.810030267685	5275.844520469502	2724.1358723657945	6602.375862944438	2433.277289019164	1870.830560533729	1715.9135532312202	7042.682233657159	13867.176648869823	6187.873714799523	6507.900746666427	10189.98792957095	2793.8963164922843	4075.650138830315	2314.6552381763263	1638.7839002453788	962.4168499423683	2696.726435693397	1301.9840151664418	772.8182477067367	16461.747712586814	3471.245948243392	7629.329959555518	5239.481550105902	27973.964029931136	39809.943699199575	19361.18376354625	33727.48640418289	21072.09883429652	28162.38022568755	22966.475384876543	33686.59825206217	29905.05358913109
AST-PWY	1947.205814097644	898.1309464221334	642.7660369362507	1491.3012000972674	505.3468352279972	601.2790271834498	2829.862285230652	506.0215397800314	382.90229305408167	398.93049850601847	604.6568635894477	1681.1970556816148	618.9272545604043	851.878042175866	1081.4146571301676	1016.7059307768563	2322.816585823806	827.8523819105588	605.9993104367636	704.6921927625415	1128.799295055159	499.79212619513874	256.8860759493671	957.137503375216	144.82108241792997	468.4867825967534	155.0	91.93962209859966	32.39482014388489	54.786513720697705	49.358974358974365	49.91684731555748	32.94117647058824	65.17084460073971	75.29411764705883	33.39108910891089
BIOTIN-BIOSYNTHESIS-PWY	5586.914565366711	4763.252406422151	4646.787524105383	9340.645967315106	4940.523204097546	2305.65113564424	6542.913841772044	2481.282599122797	1898.2557738694595	1819.6173557185348	4877.583227189531	9145.697570405651	3981.4407536345566	4303.32133873109	6898.230367170181	3039.3081304945867	4700.501692058047	2294.716538048744	1741.5527001413786	1280.7208253768038	2749.863639821269	1451.703054993062	764.1214101445245	9675.54188210646	1701.5328192080742	2633.629256233326	1795.3766009563064	1052.1975610552993	923.7634761398378	639.5842459472991	815.9817229888487	1223.8109203282193	1134.9790318804628	937.1993636119364	3455.264763921753	544.220660571306
BRANCHED-CHAIN-AA-SYN-PWY	9276.526701921986	7734.487447615178	8254.649949914008	12932.697585948268	8071.499764648799	5525.045017017591	8841.450983183704	3910.8555270827705	3085.02741755518	2903.1165892681124	8771.441402768254	15541.35547889194	7036.093199933311	7050.830379230181	11591.260393189115	4409.135188851411	5897.627671306621	3610.653786430965	2426.3751090872456	2172.1585105955605	4472.860039735593	3187.6275680569565	2108.730004092812	20190.580255263463	5375.191811259056	8036.679207033612	6551.9011218908	3162.709528864445	15747.453439192876	3108.212758238913	9355.914399154131	6086.82429093362	19931.83211694229	8342.100508233641	18471.98290745628	8721.538533904848
CALVIN-PWY	12349.167368758212	12230.52143988923	11684.507261242525	17922.050159247086	12149.620241391169	8334.295917023035	24252.1138678266	6611.462365240827	3560.1419398834787	5204.08437659426	9225.38970903058	17440.357834717797	7549.77454854169	8836.081472199716	12675.354497355696	6164.723394962759	9784.100180102632	5677.135760950041	4228.886362754005	1941.1580883094105	8271.391165786683	3818.0989133704543	2715.849992710553	22373.82236580329	7850.930055462443	11690.635243072034	9021.19423079362	7229.4245853459615	32421.778384571724	8463.113923113213	42352.35392074296	17619.304351986946	39151.70309404843	24539.952860373105	35451.78269072957	17676.689710943123
CATECHOL-ORTHO-CLEAVAGE-PWY	1811.9917810568	894.3972684974691	649.703304233662	1405.9198826291893	492.3096033591999	560.3456288467568	2734.649270831589	418.1002003012796	357.7223383031051	359.1831932773109	608.555311904019	931.1324341360472	391.3614984905	513.0942027110767	1030.3641312945251	647.1955641733942	636.0771489806294	555.6330096522165	232.7731434384537	618.547173811214	1040.6831289713869	443.6754628764029	240.49554839931807	498.35729763348746	56.46660978209067	61.84882901229733	0.0	77.22789507065619	20.999833169774288	49.56762978500262	41.43	46.67828283988332	29.81294964028777	50.02435902020382	65.82857142857144	26.690265486725664
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	161.44284904904467	118.40432464721142	137.6421736969141	98.55231615726628	120.96857320172384	118.71802876180764	50.85213244999239	62.98339130446096	91.03374306697252	23.704707807705446	2473.8138749930504	3945.0660803591727	1555.3960360217484	1241.4718229476691	3099.73269121376	77.70271197426226	70.55840520130027	199.15540740002004	56.816136560698325	171.01267732700745	207.58151469824	125.37061184657556	55.95748502877586	5443.411775554356	522.2571537776239	1280.3809384736594	964.8794350686323	136.35041026552554	244.7591841855835	37.35386517112889	282.419648106099	329.8798444436987	416.460517533036	469.39619849830825	537.1165770243466	201.4286547906428
