function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
EC:4.2.1.35	10595.84	17126.38	22828.62	32830.68	24211.56	53089.280000000006	16933.66	55334.2	54584.26	74038.66	26729.520000000004	21987.68	75225.16	18039.18	6594.6	2955.76	4339.0	4723.04	8419.78	7868.799999999999	3524.8	3429.98	1044.72	31995.7	11943.58	11101.56	7781.0	8690.84
EC:4.2.1.40	359.75	104.25	3990.5	5438.6	5771.860000000001	2087.33	4284.5	2000.0	1960.75	1966.5	915.25	1392.75	1068.75	43.75	63.25	438.0	669.0	661.74	1452.75	1106.36	572.5	98.0	46.75	34.75	3096.75	3186.75	3300.0	1580.75
EC:4.2.1.41	174.0	50.0	51.0	13.0	17.0	163.0	39.0	0.0	0.0	4.0	0.0	2.5	0.0	12.0	22.0	9.0	0.0	35.0	40.0	12.0	18.0	37.0	17.0	0.0	15.0	8.0	0.0	0.0
EC:4.2.1.42	193.75	58.25	4017.83	5521.6	5855.530000000001	2059.33	4404.17	2087.67	2064.08	2036.83	955.58	1455.75	1126.42	31.75	41.25	431.0	669.0	626.74	1436.75	1097.36	561.17	61.0	29.75	34.75	3230.75	3377.08	3434.67	1624.75
EC:4.2.1.43	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.44	205.87	73.17	54.83	453.87	439.72	296.73	60.08	9.08	30.17	61.0	34.17	25.33	20.17	255.84000000000003	293.5	1001.83	1478.5000000000002	1991.31	166.34	2197.8900000000003	370.33	287.34000000000003	327.66	63.0	282.66	174.5	50.83	730.67
EC:4.2.1.45	167.0	7009.67	2467.5	1187.67	263.5	18654.25	2190.33	17306.0	10688.0	14550.0	5758.16	2903.67	16511.66	4500.0	2740.5	522.0	437.0	124.0	1330.5	1420.17	456.5	660.0	34.0	5395.5	414.0	517.0	88.0	49.0
EC:4.2.1.46	35375.619999999995	35022.85	17824.4	13657.69	16711.56	25136.72	9274.5	22982.77	30416.13	39233.09	14028.17	13668.26	39883.57000000001	45147.59	41061.880000000005	31376.88	29367.5	25522.68	33355.64	32435.6	34284.32	33536.99	39094.53	26943.19	23216.62	16966.280000000002	15270.5	23608.42
EC:4.2.1.47	205.75	1054.25	5690.33	6264.75	5885.17	19895.25	6099.82	19877.17	28814.83	41171.58	6956.48	8028.0	44258.25	1962.75	1266.25	446.0	527.5	68.0	2547.75	1998.67	1357.92	549.0	50.25	12815.25	3560.58	3935.08	3526.67	1708.75
EC:4.2.1.49	4768.0	542.0	2131.5	9429.35	6058.86	2088.83	541.75	3517.0	13583.33	18762.0	775.0	2011.0	18348.33	5106.0	2950.0	2223.0	2346.0	1740.9899999999998	3663.0	2990.36	2120.0	2364.0	2962.0	5961.0	299.75	99.5	16.0	47.0
EC:4.2.1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.51	13734.62	10586.85	13290.9	17489.19	12698.56	27187.56	10137.25	27894.94	19825.800000000003	25643.92	14112.84	11337.09	25419.24	9474.59	3371.88	1909.88	2904.5	3017.6800000000003	4235.64	5000.43	1761.32	1815.99	762.53	16112.19	6094.79	5563.280000000001	4021.5	4345.42
EC:4.2.1.53	34746.53	27603.26	13551.740000000002	6575.4	10373.67	2243.48	2621.27	1780.1	4897.47	4082.34	5726.530000000001	3963.8	4284.66	35530.5	35653.13	28972.05	25987.5	23150.37	27301.55	26458.87	30696.07	30265.65	35851.869999999995	7811.94	17263.8	11487.8	11392.0	19272.0
EC:4.2.1.55	0.0	0.0	186.0	0.0	0.0	1365.0	831.0	249.0	267.0	193.0	342.0	69.0	0.0	0.0	0.0	12.0	0.0	0.0	24.0	45.0	0.0	15.0	0.0	96.0	23.0	0.0	6.0	0.0
EC:4.2.1.56	0.0	0.0	0.0	0.0	0.0	20.0	24.0	9.0	0.0	4.0	5.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
