pathway	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
PWY-6174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.71247033766919	32.00303809325367	79.43781370216024	0.0	121.6238588996154	74.52713088193339	0.0	18.65763873984405	0.0	0.0	2.008448903353424	0.0	0.0	0.0	0.0	0.0	43.51953725068128	70.24686309633915	51.163771610445416	0.0	96.46567339171462
PWY-6182	1105.0914354912422	1466.9463876049383	1080.4940852608245	1214.073889341689	224.15381098735256	362.53791244366977	531.3481157646818	377.85066917571066	651.3762236148385	882.6499691547436	970.3558716168586	826.9229443350379	871.9916700023124	1070.4696602751574	1278.4077539576126	780.9761376162583	628.650955519761	1145.8944747503544	486.2449947675615	542.9556830233441	2917.801816713085	132.51944797761158	261.4353939902781	225.94318642691977	542.7994429078384	1046.7242056244456	397.3931966382468	490.2037949201664	922.309256053806
PWY-6185	383.4458202086696	345.49496718619594	86.6492986766203	324.9978205736846	43.66554129975895	212.29417003389577	523.6518814871241	340.2438688271394	605.5078343918423	861.4999494335358	941.6713962300266	706.703680103116	873.9535056705977	1054.0112361263427	136.10801314954512	170.2139886446824	16.21213001839094	648.9976732611738	0.0	101.06899194342964	3007.0222426784853	37.84562544550425	0.0	11.767399864653497	519.6025237547759	1015.8148662673552	390.3517219959868	321.4278417026246	885.9254483099863
PWY-621	26869.47145364561	5637.639039737569	15116.829917334066	21503.0740458042	22261.9976613293	5080.826565195107	10819.45581494645	11931.998272935349	9779.773292659782	10207.272588584305	6905.0342759905	8450.026580877207	6855.606970838371	10342.860798780384	31580.717873305555	60921.76001621136	38683.65584333558	39224.65676370782	45442.6236092494	43302.38208944155	76887.40224613178	40868.582269473685	5509.064596124956	33764.5708154321	7696.24152294536	16142.482995751234	8714.423616990907	14139.610104427213	12502.0555376771
PWY-6210	0.0	0.0	0.0	12.774193548387096	0.0	0.0	52.03372911526145	0.0	58.96715524178574	18.333987661245093	38.59774160554174	0.0	65.88096747893832	25.876958771173133	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	26.489149689991144	26.540613963596847	0.0	46.29663763762984
PWY-622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6263	68.60529311172755	193.27140236112965	156.66968806837738	183.09296415238623	0.0	108.0688762105355	829.81520548649	154.67945756023073	1469.4214519927316	1268.732610412541	1221.7527269050895	556.1609583625573	1181.284921136554	1418.1627348294546	20.92809906956077	0.0	88.6355863969029	213.43556984061345	44.65902872321306	11.953911908550758	18.93519113649032	78.37810277259048	130.11351094533836	0.0	765.7652340027527	1408.2252332959793	427.6459441674669	331.6595605159177	1083.573644775195
PWY-6269	2006.127106176773	2262.67157381141	4204.7731774014	2099.518921477428	562.7110413976341	928.9992654486888	3372.95513688159	2921.26689545006	8851.307078576669	4880.421401582687	5151.772610140927	3120.286097509955	6339.696123804607	6436.7823797635065	2229.3094680860127	1181.7171708902133	1116.6297407208287	1793.6165193805873	790.4896834213445	1025.4732834589597	2876.1616721534456	567.9896612070538	649.7427372676364	602.1552104247421	4256.19916118697	7243.596019418384	2697.9736618076854	2326.15459538534	5278.391276694961
PWY-6277	27668.306467663017	6688.059890926949	17065.06694698924	24603.437544237768	24324.72739523636	5380.723916273295	14659.939988261276	12206.423980006775	18171.37636387031	15051.66175031428	11692.59401979232	9726.087136875196	12342.797901926697	16612.426823903843	28072.1358756266	55182.297798681895	34941.094854529096	35748.183611704524	40366.14006599983	38813.148932373486	59957.803553025165	36891.12720602261	5237.429495437705	30609.92596386866	10341.906647514408	19495.81225296793	9129.7970974784	13605.04015581083	15058.485025242217
PWY-6282	9576.481975551022	7602.145559652816	11687.57886971321	11438.07800108147	3957.801928749704	3777.905427426309	6914.387122071637	8117.266747294911	11184.10784143392	9786.473153829798	9009.399621238128	7725.959834269501	9173.2103321138	10896.570612107966	14058.678815497826	11414.255354001642	10564.341528678471	17085.566119392097	10013.741894957857	6744.722281550771	10781.3142567474	5633.056770302927	3618.4666628559057	4331.282202357876	6462.026851579374	12139.665560904712	5328.687224612292	6642.822255247773	9775.01319458731
PWY-6317	26155.107649345533	4416.014384039559	15454.75087980357	22969.24317155452	23977.84622624908	4954.2276040849465	12673.725988734075	12228.674310121714	12944.159669070685	12030.831242987328	8232.5033845477	8720.951313749025	8016.374782539813	12468.714672746888	24487.92431413768	48032.83835316509	31240.41720180336	31174.093627534905	36739.31398785493	33801.93039446271	52243.604715721725	32167.39756864876	4550.302918417618	26660.420614895407	7543.238946660072	15330.607281141412	7301.579987263243	11243.223448596107	11386.91469424446
PWY-6338	110.0762875354246	121.09564285245052	127.21107528585944	45.72187492367931	0.0	0.0	57.01158059278934	65.2138557859452	127.36971547933118	57.513227270061165	53.5237453756168	21.057800310408723	75.23115332793184	28.198335663434115	84.5691133735866	63.14142005368258	56.57276594618137	18.57946581257345	22.20982294262713	48.8007407589462	0.0	0.0	11.672673308176083	0.0	39.008032221935366	124.46275807612298	11.61766930531208	0.0	52.37545883690988
PWY-6339	185.30346503795548	244.528712642975	208.47627866479164	235.80637932721385	0.0	0.0	182.9897078878342	113.51247692930993	246.90630079146663	185.10730873555528	173.02959361267722	62.50887072683213	281.6946813266215	139.56094704618164	189.36620566468173	107.8821742249652	87.88017929781726	117.81972440776671	101.86542466898788	111.81813231280198	0.0	0.0	0.0	0.0	164.9962079127492	268.47653423869133	133.2101711794296	0.0	113.65219681228584
PWY-6349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.40050377833753	25.355242396213068	48.956242472902446	0.0	52.370322580645166	51.38379848475037	0.0	8.421052631578947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.013698630136982	32.30001171920778	25.57377049180328	0.0	55.264927165039225
PWY-6350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.77779388317148	20.10717984121505	44.26517361694019	0.0	49.76336439431094	44.02965198863637	0.0	8.333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.7920792079208	29.53450492927561	24.22360248447205	0.0	47.298334064007015
PWY-6353	9873.384426406388	5620.153542522296	14277.713468158016	10769.06622676455	2794.6506018515297	2980.746821058561	5438.5496305612805	10485.954644794274	8162.954114975493	7656.877760120739	6472.917988727783	7601.336467127889	7344.600896729743	8522.47486817075	13533.507535528845	9879.505187157272	10160.868646838107	12692.543870721296	8437.074675891192	8244.668336089462	4538.536423783508	4084.379616208611	2976.2040423933604	3642.478440738145	4982.4439875988455	11579.137977728618	4744.511562680523	6176.831690452499	7424.336617623749
PWY-6383	120.01470870292208	311.7331946824424	1748.2545341128225	177.2056312374195	113.6898176365453	145.4621037764254	283.035015857928	28.618389510507303	580.814931759628	347.5542407471803	210.32367124453847	97.29250595395897	490.10515890105154	456.5695705896217	93.8001006691868	70.94362813164271	23.989797661605778	0.0	18.9946008691736	30.98484304560071	42.48183883652795	10.997998451629808	56.067817578503	27.98434384466356	278.6619397322737	545.3458193104545	85.33789355808652	69.75150752156549	305.6250108798728
PWY-6385	24926.99039680621	5998.958164818184	15404.411486436147	14588.725259796534	13385.860010871567	4351.4155389413145	11748.83718184243	9587.772041650422	16651.389500915404	12925.409614892642	10636.85408608237	8432.17289285095	11290.44236199316	14926.876115909145	26207.908439398925	51134.549494870254	33083.38181119664	33172.68851027724	38763.962733046734	36046.92443107794	55892.82451113493	34249.00574481629	4885.818556726772	28394.028520218388	9592.771768644849	18114.57318295067	8456.633228673581	12603.603902440116	13963.987227586222
PWY-6386	25494.228297814043	6126.741982469292	16446.46082455458	23439.994371449968	23143.052358843324	5113.469200273776	14126.48049030847	11894.8332737077	17164.23411873779	14252.633033157725	11010.989279722437	9326.568215472238	11490.483468125378	15743.762217303103	25921.32379210195	50272.97015587844	32522.199765371344	32680.947678186498	38088.23101529095	35496.19320822404	54900.18924372632	33673.78915406444	4831.191646169777	27907.00263056918	9607.513452049749	18104.637194327734	8434.735972082952	12467.160871172424	13916.061160430309
PWY-6387	25326.045836240944	6053.147950906616	16269.254494080214	22966.64652292645	22639.704883950228	5022.55990779244	13883.180609504268	11791.906596295576	16955.40113176971	14045.850005466154	10872.44929157548	9238.44497480384	11429.666444706583	15529.056680945843	26851.82444334175	52531.16007440889	33956.07459707218	34002.934854930696	39795.37323401604	37021.25067882077	57498.37290811636	35196.568240233646	4991.271394748362	29182.49204962852	9755.038508292751	18462.078388387377	8618.14933182386	12906.669620026069	14250.598923337882
PWY-6396	14205.721914566797	1957.1615745849751	5719.4505554503785	1464.5340756376668	3790.4350664058375	1184.3918613087887	931.994673007236	435.49173367699103	1300.8549088758411	1042.90425427138	1510.5977944155295	957.8461704610874	1183.5897735513793	1353.5204876457676	5607.04795026031	3087.464139349705	2233.889130027097	6102.442720344151	3281.54664117054	2166.2103007543988	2938.5335611161167	1571.7710209453878	1143.421812782075	1298.263293618642	1461.5538219811883	2829.615107101779	1128.5196490632031	1788.7671296557194	2584.663568225267
PWY-6397	9.07493655940174	74.30999103303884	979.3748309569808	0.0	36.07242632194027	47.81284909811576	62.11982290881912	0.0	245.07206064775767	131.23213556190328	97.81495219284469	32.280242442199395	211.09327533101347	167.89651171569832	17.838545059286396	37.04221080221063	10.434628541149673	0.0	8.685753395858576	10.956362031815978	3.737065395743473	5.739085041459619	6.83159685659965	0.0	89.20851918552093	221.47000757737163	44.855368965129855	38.0139191364939	117.98504361906188
PWY-6404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6467	2390.66	2815.6	5006.13	3209.95	651.16	1034.0	3500.0599999999995	3854.73	7298.85	4925.97	4947.78	3584.33	5564.459999999999	5834.52	3462.84	2958.22	3332.6400000000003	5798.100000000001	3159.68	1674.95	3615.86	1369.56	1368.4100000000003	1020.68	3724.380000000001	6645.92	2818.8	2755.8299999999995	5332.750000000001
