function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:2.3.1.109	3710.15	5211.45	4737.0	4074.8	1708.75	2440.15	1521.24	3206.67	1822.75	2728.78	2858.33	3408.42	2598.81	2683.6000000000004	6541.42	2936.35	2095.45	4531.87	1689.27	1962.38	3358.69	1642.4	1279.0	1328.85	1505.99	3012.87	1308.66	1978.25	3073.29
EC:2.3.1.117	2836.23	3298.73	8361.03	4193.74	1065.05	1388.75	3044.04	4168.13	6012.41	4498.58	4159.39	3469.33	4463.1900000000005	5202.6	7294.24	3958.09	3585.6400000000003	6106.27	3365.91	4073.29	4125.11	2103.56	1683.36	1476.38	3133.42	6366.110000000001	3142.66	3159.6800000000003	4349.97
EC:2.3.1.118	995.5	1364.02	2680.21	1069.53	433.5	721.35	444.02	2713.0	489.33	802.34	809.3299999999999	1716.5	1032.2	892.76	1649.75	749.75	547.17	1282.28	438.34	513.42	2722.73	418.0	346.5	343.25	492.34	1606.86	516.25	764.75	858.09
EC:2.3.1.12	27133.67	8226.3	15683.62	23882.060000000005	21665.16	5355.56	10223.44	10452.73	7993.09	9736.32	6814.860000000001	7558.74	6000.870000000001	9781.28	26069.63	47459.59	30593.04	31776.59	34654.520000000004	33514.95	50514.350000000006	31229.86	4902.34	25823.18	5747.660000000001	11678.88	6215.299999999999	10361.75	9131.02
EC:2.3.1.122	5.5	67.5	935.5	0.0	33.0	41.0	55.0	0.0	219.25	119.0	89.5	30.0	195.0	103.5	16.0	35.5	10.0	0.0	6.5	10.5	3.25	5.5	6.0	0.0	78.5	200.25	43.0	35.0	106.5
EC:2.3.1.128	42881.2	10415.11	23243.36	27133.96	24377.83	6708.63	16501.96	16519.27	23786.89	18853.76	15723.509999999998	13335.66	16279.05	21912.7	53690.06	92561.29	57447.54	56812.02	66695.37	68810.90999999999	102706.35	61843.06	8594.619999999999	51306.630000000005	15446.47	30756.02	15324.18	22377.4	21513.49
EC:2.3.1.129	2428.66	2842.6	5138.96	3229.2	651.16	1076.0	4276.99	4018.03	9325.03	5819.030000000001	5993.06	3885.730000000001	6943.15	7148.14	3524.84	2975.2200000000003	3363.6400000000003	5858.030000000001	3161.3500000000004	1692.95	3633.86	1369.56	1356.41	1062.98	4524.18	7885.65	3274.62	3170.9	6403.63
EC:2.3.1.15	47611.19	12548.990000000002	31267.9	43764.36	42890.76	9940.06	23662.69	24578.64	25707.48	23979.13	17289.04	17702.920000000002	17275.09	25158.98	50323.48	94627.22	61884.630000000005	65463.5	72730.16	66009.36	103983.4	62933.27999999999	9886.89	51820.53999999999	15536.83	30997.22	15370.77	22806.25	23016.16
EC:2.3.1.157	23365.6	5732.629999999999	15004.06	21360.83	21231.050000000003	4558.85	11131.4	10533.73	11181.92	10445.25	7537.84	7495.04	7286.929999999999	11375.57	23831.57	46182.34	29843.370000000003	30169.03	35079.74	32501.620000000003	50254.52	30842.36	4437.36	25514.38	6909.05	13606.13	6647.23	10459.83	10243.61
EC:2.3.1.16	12457.83	5318.77	12470.54	19927.41	19123.5	4093.85	9011.95	11144.25	5615.860000000001	7794.44	5184.6900000000005	6964.59	4569.83	7248.9	4093.42	2167.3	2157.58	3614.9	1787.6800000000003	1770.9	5788.539999999999	907.8	921.75	873.3	2762.27	5335.9800000000005	1948.16	2133.83	3588.99
EC:2.3.1.168	10376.33	3582.0	7522.83	18616.42	18694.75	3134.5	7256.6	5800.0	2883.0	5293.75	2623.53	3614.75	1928.75	4436.67	2295.33	1341.0	1516.67	1976.75	1205.42	1100.92	552.0	470.0	495.0	447.0	875.34	1286.92	567.67	587.0	1191.5
EC:2.3.1.169	0.0	0.0	0.0	0.0	0.0	0.0	174.0	70.0	567.0	268.75	322.25	156.0	411.0	532.75	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	14.0	0.0	247.0	488.75	206.0	144.75	347.0
EC:2.3.1.174	906.83	1311.75	2885.58	997.87	459.0	681.35	443.02	2716.0	402.33	738.8399999999999	762.8299999999999	1636.75	780.12	811.09	1629.75	754.75	515.17	1270.62	429.67	484.42	2715.15	410.0	319.25	331.25	391.29	1403.84	439.5	715.25	791.3399999999999
EC:2.3.1.178	49.67	21.0	60.75	36.0	0.0	48.0	278.75	90.25	603.25	438.75	344.0	136.75	334.08	594.75	17.0	32.0	19.0	51.0	0.67	14.0	0.0	43.0	13.25	0.0	414.42	420.5	212.25	151.32999999999998	356.75
EC:2.3.1.179	28032.6	10639.15	18166.86	26566.15	22151.64	5960.14	13762.97	10773.18	17105.61	14690.71	11933.36	9642.01	12255.89	16099.149999999998	27439.070000000003	47159.95	30442.49	29905.810000000005	33672.17	34226.74	52555.94	30969.1	4895.12	26029.55	9767.73	18011.589999999997	7801.98	11799.55	14348.23
EC:2.3.1.18	10336.0	1167.25	2492.25	409.45	1920.25	725.85	580.6700000000001	2922.67	1086.67	723.29	868.75	1772.18	941.61	1089.67	16346.75	41980.75	25413.5	23609.870000000003	30002.92	28253.5	48049.98	28476.0	2616.5	23832.25	2324.49	6011.27	2974.37	7365.71	4571.83
EC:2.3.1.180	26013.27	6058.699999999999	13914.59	22361.66	21725.44	4990.43	14185.81	11092.59	19505.66	15063.23	12653.93	9285.35	13676.64	16599.870000000003	27060.990000000005	54348.62	34403.6	34210.29	39264.47	38137.47	58629.19	36386.26	5221.1	30078.38	10718.07	20347.72	9129.920000000002	12372.13	15672.23
EC:2.3.1.181	2437.83	3004.1	5768.71	3271.7	676.1599999999999	1066.0	3110.06	3762.51	6076.4	4372.1	4246.97	3329.6800000000003	4823.16	5113.65	3518.84	2998.7200000000003	3360.6400000000003	5789.1	3159.1800000000003	1726.78	3637.11	1354.06	1328.66	1034.38	3161.33	5799.52	2531.8500000000004	2506.95	4539.37
EC:2.3.1.182	72.0	17.0	156.5	240.25	6.0	101.0	968.1	168.3	2347.52	1341.39	1474.11	479.4	1791.1899999999998	1682.12	77.0	35.0	86.0	39.0	18.0	95.0	25.0	34.0	42.0	40.3	1113.8	1611.73	663.8199999999999	486.07	1320.88
EC:2.3.1.183	24147.4	6698.56	15512.61	21454.99	21404.66	4797.67	10902.39	10480.05	10737.92	10914.14	7977.0	7807.83	7907.200000000001	11274.490000000002	25158.32	46852.59	29533.22	31273.42	34014.01	32872.119999999995	53152.7	30976.560000000005	4483.610000000001	25605.88	6802.58	13805.75	6769.45	10906.53	10538.34
EC:2.3.1.184	1105.0	1143.0	1424.0	1430.0	98.0	65.0	41.120000000000005	12.33	95.08	29.89	45.25	8.5	54.96	73.83	565.67	526.0	908.6	502.0	519.67	559.2	78.58	29.4	157.0	110.0	34.45	82.92	27.83	23.33	83.2
EC:2.3.1.187	929.83	1342.5	735.33	1063.09	428.25	610.39	372.92	200.67	404.5	667.8399999999999	813.3299999999999	596.5	736.7900000000001	673.26	1677.0	755.8	496.67	1413.76	429.42	499.92	4868.44	405.0	315.75	335.8	431.54	782.67	315.0	443.5	758.42
EC:2.3.1.189	50.17	154.5	971.5	98.0	57.0	74.0	120.0	13.0	302.25	174.0	89.5	49.0	238.0	211.75	39.0	35.5	10.0	0.0	24.5	15.5	21.25	5.5	28.25	14.0	100.17	275.5	43.0	35.0	143.17000000000002
EC:2.3.1.19	6790.5	1130.0	5449.0	16301.0	18175.0	2485.5	8091.18	5955.5	5679.379999999999	6531.36	3777.13	3687.0	3341.56	5918.67	131.0	64.75	90.0	398.0	267.0	55.5	281.5	30.0	37.57	15.0	1735.8	2818.33	1064.93	778.9	2208.6800000000003
EC:2.3.1.191	2401.66	2888.6	5081.63	3228.95	651.16	1072.0	3985.56	3982.23	8281.85	5485.97	5524.28	3821.33	6406.719999999999	6646.780000000001	3491.84	2961.2200000000003	3371.6400000000003	5846.700000000001	3171.6800000000003	1688.95	3623.86	1369.56	1388.41	1082.6799999999998	4225.38	7407.42	2998.3	3021.83	5951.25
EC:2.3.1.193	46.83	66.33	2184.25	82.95	91.41	131.35	657.53	3228.1800000000003	1469.8200000000002	1042.27	691.0	1740.26	886.8900000000001	1072.84	1010.59	1580.42	1688.9299999999998	3967.690000000001	2110.26	455.03	3299.53	814.5600000000001	641.66	471.58	899.04	2097.0199999999995	1154.4	1148.76	1147.45
EC:2.3.1.20	29.5	83.1	938.3	22.0	33.0	91.65	373.33	92.0	695.53	377.14	487.17	186.67	547.25	688.4200000000001	42.25	39.3	21.04	0.0	6.5	21.5	3.25	21.5	6.0	0.8	389.74	526.09	154.82999999999998	124.17	369.5
EC:2.3.1.200	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	25.0	10.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.33
