function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
K07710	6.0	8.25	2161.25	10.25	5.25	88.5	58.75	2495.0	133.07	123.85	54.15	1079.8	228.1	94.6	5.75	12.75	22.5	18.75	10.25	19.5	0.0	13.0	3.5	3.25	79.9	927.0	223.75	304.25	32.5
K07711	45.0	185.75	2186.75	121.12	9.75	113.35	293.62	2545.0	483.08	362.44000000000005	358.33	1285.75	495.48	476.84	104.75	65.75	35.1	257.87	61.25	86.03	2510.69	35.4	3.5	10.25	440.62	1144.84	364.75	437.75	402.12
K07712	2236.83	2711.11	4487.54	2678.52	531.5	823.75	1587.47	3025.5	2777.51	2069.33	2289.75	2314.67	2362.89	2596.84	2416.42	1365.55	1495.0600000000002	1944.87	1017.67	1160.2800000000002	2814.6799999999994	501.4	527.25	467.05	1693.6	3163.7000000000003	1129.91	1247.75	2294.62
K07713	55.0	61.09	2108.41	234.02	5.25	234.35	1728.7	2747.67	4248.48	2263.8500000000004	2583.66	1861.0	2940.6400000000003	2732.9	71.75	23.75	104.5	230.19	65.25	55.8	2550.0599999999995	36.0	63.5	31.75	1730.7600000000002	3509.33	1153.23	1332.18	2508.92
K07714	38.0	11.92	2107.91	77.91	5.25	139.5	80.25	2498.0	214.0	127.75	51.75	1105.0	274.0	165.0	62.75	12.75	12.5	69.74000000000001	29.92	21.16	8.33	13.0	107.5	3.25	97.67	910.33	239.75	305.75	90.0
K07715	45.0	185.75	2186.75	121.12	9.75	113.35	293.62	2545.0	483.08	362.44000000000005	371.33	1285.75	495.48	472.84	104.75	65.75	27.1	257.87	61.25	86.03	2510.69	35.4	3.5	10.25	440.62	1144.84	368.75	437.75	402.12
K07716	2166.0	2290.0	2968.0	2768.0	187.0	130.0	37.0	6.0	171.0	77.0	32.0	21.0	53.0	133.0	1144.0	1062.0	1818.0	1004.0	1038.0	1116.0	148.0	56.0	314.0	220.0	57.0	103.0	17.0	44.0	64.0
K07717	54.0	22.0	0.0	0.0	0.0	0.0	68.0	46.0	288.0	174.0	198.78	7.0	189.0	155.5	0.0	11.0	0.0	19.33	10.0	44.5	0.0	0.0	16.0	0.0	194.0	308.67	146.67000000000002	69.0	125.43
K07718	3309.0	504.79	2417.16	2722.8	571.0	856.0	3327.12	2316.21	8805.3	4950.4800000000005	4175.81	2990.42	5905.62	6207.2	657.0	151.75	308.0	237.93	398.0	316.0	212.5	446.5	497.21	274.0	3839.99	6297.240000000001	3021.43	2305.5	4346.84
K07719	95.0	35.0	1405.0	0.0	0.0	0.0	109.0	46.0	469.0	183.5	262.78	45.0	267.0	319.5	0.0	11.0	0.0	19.33	10.0	71.5	26.0	22.0	16.0	21.0	203.0	347.67	166.67000000000002	105.0	125.43
K07720	3445.0	552.96	2440.16	2699.8	642.0	864.0	3578.62	2002.54	9230.55	5569.07	4265.56	2928.58	6551.7	6567.95	4255.0	1039.75	429.0	536.9300000000001	405.0	2598.5	601.5	1035.5	690.64	580.0	4068.16	6730.67	3182.4300000000003	2476.75	4639.4
K07721	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	32.0	0.0	51.5	25.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0
K07722	64.0	88.02	2069.88	19.11	5.25	112.75	215.5	2569.17	531.32	348.59000000000003	381.0	1214.67	449.04	474.5100000000001	57.75	56.55	50.5	190.53	22.25	35.5	2510.73	19.0	12.5	4.05	303.22	1142.84	362.45	376.54	402.67
K07723	8323.5	1121.0	5320.5	16268.0	18172.0	2485.5	6873.37	5646.0	3050.54	4967.35	2145.19	3030.8	1380.6	3943.1	75.0	64.0	58.0	395.0	267.0	55.5	266.0	24.0	14.57	9.0	632.4	1085.8	392.6	242.5	679.31
K07724	6.0	32.25	2033.75	146.45	5.25	105.35	308.96	2547.34	532.66	482.87	436.74	1358.5	599.26	396.52	5.75	12.75	15.1	201.87	10.25	73.7	2512.98	14.4	28.5	3.25	556.71	1350.45	432.5	443.25	498.21
K07725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	0.0	0.0	8.5	25.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
K07726	1916.83	1519.0	4850.33	1206.79	434.75	829.1999999999999	1119.16	5325.67	1691.08	1490.17	1494.24	3072.17	1904.4	1943.1	1740.5	820.5	546.56	1513.09	490.92	583.12	5226.669999999999	455.4	402.25	340.5	1305.38	3113.9300000000003	1072.25	1270.17	1617.12
K07727	8788.57	1382.83	7094.73	17235.4	18350.5	2677.95	9944.12	6969.17	10803.11	9164.0	6316.93	4924.14	6734.360000000001	9945.32	3705.65	979.45	1015.75	739.6	1615.0	2557.5	719.25	669.0	452.94	501.0	4569.6	7167.91	3196.07	2339.02	4699.1
K07728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	32.0	0.0	41.5	28.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0
K07729	16946.5	2119.13	6866.33	4173.05	3004.14	1823.39	4771.79	2670.87	12925.54	7034.76	6792.879999999999	3756.46	7609.289999999999	9658.72	21572.0	36357.5	22137.0	20634.58	26632.81	28352.42	38828.33	25171.5	3439.96	20660.0	7595.73	14049.71	7218.12	10225.92	9543.1
K07730	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	32.0	0.0	41.5	25.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0
K07731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07732	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	32.0	0.0	41.5	28.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0
K07733	1289.66	1417.5600000000002	4958.2	1165.75	612.57	815.6999999999999	1493.61	6658.700000000001	2677.96	2477.3100000000004	2082.08	3729.69	2064.81	2458.87	3700.51	3973.84	3991.66	9012.83	4632.1	1385.41	6781.52	2010.72	1635.07	1247.16	1670.39	4126.639999999999	2479.3	2572.86	2517.59
K07734	2211.5	2700.27	2372.46	2575.75	544.25	660.4	666.9300000000001	310.0	1035.67	1026.75	1253.67	766.42	1127.75	1278.51	2339.0	1352.8	1481.67	1692.41	1007.4199999999998	1089.25	288.33	445.0	506.75	464.8	769.62	1227.84	559.8299999999999	544.17	1105.5
K07735	2354.83	2865.1	5658.21	2974.95	646.16	983.0	2588.56	3667.01	5344.65	3844.85	3658.22	3015.1800000000003	4080.66	4352.32	3400.84	2979.7200000000003	3299.6400000000003	5709.1	3208.1800000000003	1640.78	3601.11	1302.06	1242.41	959.88	2600.41	5119.02	2242.85	2364.2	3890.2
K07736	2134.17	1397.0	2842.0	1607.0	167.5	159.5	2262.75	741.8299999999999	6771.8	3468.93	3034.1000000000004	1144.3	3999.11	4113.1	663.0	595.5	1023.0	554.0	624.5	676.83	81.0	55.5	306.07	146.0	2779.87	4758.67	1629.17	1069.75	3349.34
