"","071B","073B","075B","077B","081B","083B","085B","088B","091B","093B","097B","100B","101B","105B","106B","107B","215B","218B","219B","220B","224B","226B","227B","228B","235B","242B","245B","246B","248B"
"Chryseobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,0,1775.25297354873,5325.75892064619,1775.25297354873,0,0,0,0,0,19527.782709036,8876.26486774365
"Fusobacterium",0,0,0,0,0,10651.5178412924,0,0,14202.0237883898,0,0,0,0,0,0,0,72785.371915498,35505.0594709746,12426.7708148411,33729.8064974259,17752.5297354873,19527.782709036,24853.5416296822,24853.5416296822,31954.5535238772,62133.8540742056,15977.2767619386,28404.0475767797,51482.3362329132
"Flectobacillus",1775.25297354873,8876.26486774365,0,1775.25297354873,3550.50594709746,0,0,17752.5297354873,8876.26486774365,24853.5416296822,0,0,40830.8183916208,0,10651.5178412924,3550.50594709746,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44381.3243387183,12426.7708148411,0,15977.2767619386,0,24853.5416296822,12426.7708148411,15977.2767619386,37280.3124445233,81661.6367832416,14202.0237883898,85212.1427303391,67459.6129948518
"Leptotrichiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40830.8183916208,8876.26486774365,0,17752.5297354873,15977.2767619386,12426.7708148411,23078.2886561335,3550.50594709746,19527.782709036,28404.0475767797,14202.0237883898,15977.2767619386,15977.2767619386
"Phascolarctobacterium",0,0,0,0,0,0,0,0,0,12426.7708148411,0,0,0,0,0,0,65684.360021303,58583.3481271081,10651.5178412924,95863.6605716315,0,12426.7708148411,19527.782709036,21303.0356825848,71010.1189419492,15977.2767619386,0,131368.720042606,55032.8421800107
"Mitochondria",14202.0237883898,7101.01189419492,1775.25297354873,26628.794603231,8876.26486774365,7101.01189419492,0,7101.01189419492,17752.5297354873,15977.2767619386,0,15977.2767619386,126042.96112196,3550.50594709746,17752.5297354873,5325.75892064619,5325.75892064619,14202.0237883898,1775.25297354873,7101.01189419492,3550.50594709746,0,0,0,14202.0237883898,21303.0356825848,0,0,0
"Alteromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,15977.2767619386,0,15977.2767619386,14202.0237883898,1775.25297354873,0,0,8876.26486774365,44381.3243387183,24853.5416296822,30179.3005503284,31954.5535238772
"Distigma",35505.0594709746,0,3550.50594709746,120717.202201314,21303.0356825848,1775.25297354873,8876.26486774365,8876.26486774365,35505.0594709746,24853.5416296822,0,31954.5535238772,232558.139534884,8876.26486774365,143795.490857447,7101.01189419492,0,0,0,0,0,0,0,5325.75892064619,0,0,0,0,0
"Peptostreptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71010.1189419492,17752.5297354873,23078.2886561335,0,12426.7708148411,0,26628.794603231,0,23078.2886561335,28404.0475767797
"Facklamia",0,0,0,0,0,0,0,0,24853.5416296822,0,0,0,0,0,0,0,47931.8302858157,12426.7708148411,0,14202.0237883898,23078.2886561335,31954.5535238772,0,0,24853.5416296822,15977.2767619386,0,42606.0713651695,14202.0237883898
"Apibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26628.794603231,17752.5297354873,0,21303.0356825848,7101.01189419492,23078.2886561335,0,8876.26486774365,19527.782709036,35505.0594709746,8876.26486774365,56808.0951535594,17752.5297354873
"Aerosphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47931.8302858157,28404.0475767797,0,23078.2886561335,10651.5178412924,7101.01189419492,23078.2886561335,5325.75892064619,24853.5416296822,19527.782709036,23078.2886561335,0,21303.0356825848
"Prevotellaceae_UCG_003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83436.8897567903,12426.7708148411,7101.01189419492,97638.9135451802,58583.3481271081,10651.5178412924,37280.3124445233,14202.0237883898,40830.8183916208,63909.1070477543,3550.50594709746,95863.6605716315,51482.3362329132
"Paenalcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21303.0356825848,12426.7708148411,0,21303.0356825848,56808.0951535594,7101.01189419492,3550.50594709746,0,3550.50594709746,49707.0832593645,10651.5178412924,39055.5654180721,37280.3124445233
"Ruminococcus_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76335.8778625954,44381.3243387183,15977.2767619386,39055.5654180721,35505.0594709746,31954.5535238772,3550.50594709746,33729.8064974259,12426.7708148411,14202.0237883898,28404.0475767797,0,76335.8778625954
"Bacteroidales_RF16_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106515.178412924,28404.0475767797,0,104739.925439375,79886.3838096929,31954.5535238772,37280.3124445233,24853.5416296822,92313.154624534,65684.360021303,31954.5535238772,71010.1189419492,69234.8659684005
"Enterobacteriaceae",0,0,0,35505.0594709746,0,0,0,0,0,0,7101.01189419492,0,0,0,0,0,23078.2886561335,26628.794603231,0,42606.0713651695,33729.8064974259,21303.0356825848,0,0,10651.5178412924,40830.8183916208,0,49707.0832593645,0
"Prevotella_9",0,0,0,0,0,0,0,0,0,0,0,0,49707.0832593645,0,0,3550.50594709746,14202.0237883898,5325.75892064619,10651.5178412924,42606.0713651695,39055.5654180721,17752.5297354873,28404.0475767797,19527.782709036,23078.2886561335,51482.3362329132,21303.0356825848,46156.577312267,46156.577312267
"Faecalibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56808.0951535594,15977.2767619386,0,14202.0237883898,21303.0356825848,26628.794603231,1775.25297354873,7101.01189419492,19527.782709036,5325.75892064619,5325.75892064619,28404.0475767797,30179.3005503284
"Enterobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,0,19527.782709036,5325.75892064619,12426.7708148411,15977.2767619386,5325.75892064619,0,21303.0356825848,0,17752.5297354873,46156.577312267
