#NAME	139A	140A	141A	142A	143A	144A	145A	146A	147A	148A	149A	150A	151A	152A	153A	154A	155A	156A	157A	158A	159A	160A	161A	162A	163A	164A	165A	166A	167A	168A	169A	249A	250A	251A	252A	253A	254A	255A	256A	257A	258A	259A	260A	261A	262A	263A
Romboutsia	3934.770253	2623.180169	31915.35872	0	2185.983474	6120.753727	0	7432.343811	12241.50745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1748.786779	0	0	0	874.3933896	34975.73558	17925.06449	19236.65457	8306.737201	0	0	9618.327285	13115.90084	1748.786779	0	0	0	7432.343811	0	10929.91737
Peptococcaceae	159139.5969	168757.9242	27543.39177	0	247890.5259	135968.1721	66016.70091	28854.98186	131159.0084	0	0	0	0	0	0	75635.0282	874.3933896	156516.4167	280243.0814	203296.4631	182311.0217	115419.9274	0	0	0	27980.58847	259257.64	0	0	0	0	3497.573558	0	0	9618.327285	3497.573558	9618.327285	0	0	0	0	6995.147117	6995.147117	0	14864.68762	6120.753727
Ruminococcaceae	34975.73558	188431.7755	4371.966948	15301.88432	95308.87946	0	2623.180169	0	21422.63804	0	0	0	3060.376864	46780.04634	1748.786779	120666.2878	10492.72068	6120.753727	239146.5921	114545.534	252699.6896	19236.65457	62956.32405	40222.09592	25794.60499	94434.48608	96620.46955	48091.63643	17050.6711	0	0	336641.455	368119.617	250076.5094	312158.4401	344073.7988	301228.5227	204608.0532	0	0	0	209417.2168	246141.7392	226030.6912	285052.245	231277.0515
Roseburia	14427.49093	8306.737201	0	0	0	13990.29423	2185.983474	0	1311.590084	11804.31076	37161.71906	0	66453.89761	94434.48608	64705.11083	0	0	0	0	0	0	0	437.1966948	874.3933896	874.3933896	36287.32567	64705.11083	25794.60499	87876.53565	54649.58685	27543.39177	59458.75049	64705.11083	19673.85127	141214.5324	72574.65134	73011.84803	52463.60338	0	118043.1076	0	162199.9738	50277.6199	71263.06125	49403.22651	98369.25633
Ruminiclostridium_9	78695.40506	9618.327285	0	0	17050.6711	8306.737201	30166.57194	16176.27771	27980.58847	0	5683.557032	0	0	26231.80169	52463.60338	24045.81821	38473.30914	0	34538.53889	46342.84965	20548.24466	138154.1556	158265.2035	61644.73397	41533.68601	94871.68277	66453.89761	88750.92904	65579.50422	52900.80007	112796.7473	874.3933896	0	7869.540506	6995.147117	52026.40668	5683.557032	22297.03143	0	5683.557032	0	43719.66948	17925.06449	6995.147117	15301.88432	29292.17855
Anaeroplasma	0	12241.50745	5683.557032	2623.180169	29292.17855	6995.147117	1748.786779	6120.753727	22297.03143	0	0	0	0	0	0	437.1966948	0	10929.91737	48528.83312	15301.88432	76072.22489	0	0	0	0	4371.966948	4371.966948	20548.24466	3497.573558	13115.90084	2185.983474	0	0	437.1966948	0	0	0	0	0	2623.180169	0	874.3933896	9181.130591	10055.52398	0	20111.04796
Marvinbryantia	3497.573558	10055.52398	8306.737201	8743.933896	10055.52398	14427.49093	13553.09754	32352.55541	18362.26118	0	102304.0266	1748.786779	115419.9274	4809.163643	0	3934.770253	0	13553.09754	5246.360338	2185.983474	27106.19508	2623.180169	5246.360338	11367.11406	27106.19508	4371.966948	17487.86779	44156.86617	21859.83474	12241.50745	3060.376864	53337.99676	13115.90084	25794.60499	23171.42482	0	0	0	0	32789.75211	0	18799.45788	7869.540506	35850.12897	27543.39177	30166.57194
Angelakisella	81755.78193	13115.90084	55086.78354	0	12678.70415	66016.70091	11804.31076	0	24045.81821	0	54212.39015	0	0	152144.4498	3934.770253	17050.6711	55961.17693	43719.66948	6120.753727	102741.2233	0	80444.19184	62081.93066	116294.3208	111485.1572	8743.933896	14864.68762	0	45468.45626	10055.52398	0	16613.4744	0	55523.98024	18799.45788	100992.4365	0	14427.49093	0	284177.8516	7432.343811	102741.2233	41096.48931	25794.60499	32352.55541	132033.4018
Enterorhabdus	34101.34219	23608.62152	26231.80169	16176.27771	21422.63804	26231.80169	27980.58847	24483.01491	63393.52074	0	31478.16203	0	8743.933896	0	8306.737201	0	27106.19508	10055.52398	9618.327285	14864.68762	18362.26118	25357.4083	27980.58847	24045.81821	12241.50745	87439.33896	13553.09754	11804.31076	50277.6199	22297.03143	47654.43973	35412.93228	0	27543.39177	11804.31076	0	0	0	0	0	0	0	0	0	0	0
Ruminiclostridium	61644.73397	31915.35872	63393.52074	0	14427.49093	25357.4083	10492.72068	6557.950422	25794.60499	0	25794.60499	0	0	104490.0101	0	10055.52398	87876.53565	34101.34219	86564.94557	48528.83312	18362.26118	0	12678.70415	35412.93228	28417.78516	2185.983474	4371.966948	44594.06287	0	874.3933896	0	1748.786779	0	5246.360338	17050.6711	58147.16041	18362.26118	24483.01491	0	8306.737201	0	13115.90084	13553.09754	11804.31076	7432.343811	13115.90084
