#NAME	108A	109A	110A	111A	112A	113A	114A	115A	116A	117A	118A	119A	120A	121A	122A	123A	124A	125A	126A	127A	128A	129A	130A	131A	132A	133A	134A	135A	136A	137A	138A
Peptococcaceae	82597.7812	109320.5928	29152.15807	63163.00915	108105.9195	4858.693012	89480.92963	25508.13831	42513.56385	27937.48482	8907.603855	13361.40578	123491.7807	23078.79181	26722.81156	49396.71228	70451.04867	21054.33638	48182.03903	47372.25686	29961.94024	29152.15807	33605.96	8097.821686	5668.47518	13766.29687	3644.019759	51016.27662	23888.57397	22673.90072	26722.81156
Bifidobacterium	323912.8674	152239.0477	191108.5918	153453.7209	3239.128674	215806.9479	46562.47469	0	0	0	0	3644.019759	9312.494939	34415.74217	18220.09879	0	66402.13782	19029.88096	27127.70265	0	0	1619.564337	7692.930602	136853.1865	83407.56337	1214.673253	52635.84096	54255.4053	65187.46457	1214.673253	57899.42505
Lachnospiraceae_UCG_001	42513.56385	82597.7812	36440.19759	76524.41493	102032.5532	92720.0583	142116.7706	193133.0472	857964.2076	586282.2901	53040.73204	76524.41493	40084.21735	49801.60337	29152.15807	34820.63325	25913.0294	28342.3759	113774.3947	733662.6447	899667.9893	606931.7354	543363.8351	11336.95036	0	56279.86072	74904.8506	61543.44481	15790.75229	66807.02891	40084.21735
Ruminococcaceae	65187.46457	119442.8699	87456.47421	48991.8212	5263.584096	67211.91999	34820.63325	24698.35614	80573.32578	64377.6824	62758.11807	66402.13782	0	17005.42554	18220.09879	9717.386023	15385.8612	38059.76192	12551.62361	129160.2559	104866.7908	63972.79132	76119.52385	62353.22698	26722.81156	145355.8993	63972.79132	85027.1277	74095.06843	85836.90987	94339.62264
Roseburia	37249.97976	75309.74168	34415.74217	39679.32626	31986.39566	23078.79181	31176.61349	61543.44481	338084.0554	292736.2539	13766.29687	32796.17783	28342.3759	28342.3759	26317.92048	25508.13831	30771.72241	25508.13831	27937.48482	450238.8857	580208.9238	319863.9566	371690.0154	25103.24723	69641.2665	195967.2848	171673.8197	53040.73204	21864.11855	131994.4935	67211.91999
Mucispirillum	25508.13831	33201.06891	4048.910843	0	3644.019759	6883.148433	11741.84144	125111.345	323507.9764	329581.3426	4453.801927	5668.47518	0	4048.910843	2429.346506	809.7821686	0	2834.23759	1619.564337	173698.2752	289902.0164	85836.90987	156692.8496	17410.31662	55470.07855	52230.94987	45347.80144	15790.75229	17815.20771	125921.1272	14576.07903
Ruminiclostridium_9	3239.128674	12551.62361	0	14980.97012	16195.64337	3239.128674	21864.11855	16195.64337	89480.92963	41703.78168	10932.05928	10122.27711	17815.20771	6883.148433	9312.494939	12956.5147	9717.386023	13361.40578	4858.693012	86241.80096	95149.40481	38869.54409	40084.21735	3239.128674	15790.75229	63972.79132	23888.57397	4453.801927	31581.50458	35630.41542	15385.8612
Anaeroplasma	109725.4838	112154.8304	49396.71228	73285.28626	82192.89011	38464.65301	14980.97012	64782.57349	93934.73156	31986.39566	65592.35566	31176.61349	3644.019759	2024.455421	0	27532.59373	4453.801927	6478.257349	3239.128674	158312.414	65997.24674	35225.52433	7288.039517	55470.07855	124706.454	159122.1961	102032.5532	47777.14795	34010.85108	114584.1769	40084.21735
Marvinbryantia	28342.3759	48586.93012	36845.08867	26317.92048	25913.0294	17815.20771	39679.32626	12146.73253	21054.33638	8907.603855	44538.01927	49801.60337	44942.91036	34010.85108	40489.10843	19434.77205	53040.73204	27127.70265	36845.08867	17815.20771	16195.64337	11741.84144	18220.09879	19839.66313	3644.019759	15790.75229	8502.71277	31176.61349	12551.62361	2834.23759	11741.84144
Angelakisella	0	0	0	0	0	0	5263.584096	0	43728.2371	7288.039517	2429.346506	6073.366264	2429.346506	3644.019759	0	809.7821686	0	0	0	27937.48482	30366.83132	24293.46506	26317.92048	0	6073.366264	12956.5147	5668.47518	0	0	24293.46506	7288.039517
