function	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:1.1.5.8	0.0	0.0	836.0	1338.0	1173.98	0.0	2137.7200000000003	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	13.0	41.8	11.27	330.19	10.42	12.12	5008.589999999999	1.4	2.75	0.8	210.57	314.68	100.83	49.17	204.62
EC:1.1.9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	48.0	96.0	14.0	0.0	0.0	0.0	0.0	27.0	0.0	12.0	48.0	0.0	15.0	9.0
EC:1.1.98.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	3.0	14.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	0.0	0.0
EC:1.1.98.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	6.0	6.5	0.0	0.0	16.0	35.5	10.0	0.0	24.5	10.5	3.25	5.5	6.0	0.0	78.5	221.25	43.0	35.0	106.5
EC:1.1.99.1	107.75	114.25	755.0	1067.0	1271.74	1721.75	1157.36	590.5	143.0	64.5	69.75	3171.0	3235.75	3300.0	1633.75	6781.42	3897.55	4330.73	5471.37	3123.76	3256.87	3637.94	1382.4	1455.25	1345.05	2002.99	3836.43	1423.41	1908.25	3264.12
EC:1.1.99.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	33.0	13.0	0.0	7.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	10.0
EC:1.1.99.21	12.0	22.0	7.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0	1614.0	703.0	493.67	1085.5	416.17	467.17	212.0	409.0	313.0	328.0	283.8	469.0	221.0	373.0	657.0
EC:1.1.99.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.99.28	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	11.0	25.0	4.0	18.0	36.0	0.0	0.0	7.0	38.0	8.67	6.0	5.0	2.5	0.0
EC:1.1.99.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	146.0	104.0	11.2	26.5	6.5	17.9	4.58	2.8	5.5	0.0	375.84	422.02	194.84	110.0	331.40000000000003
