pathway	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
FASYN-ELONG-PWY	50240.81190926374	47580.09154003494	37600.0484024154	34918.2060146494	30979.451089778697	38974.54554903274	37582.92874361386	40632.0307695618	39038.78267785058	46253.84612861164	22151.066664749826	27879.034499146383	20419.14023022934	18341.65645928308	28146.813218197887	28974.32953531016	57068.18996611211	37494.95180114239	38334.639707567	42614.777125291024	39559.72531157213	63130.2883192382	37577.66567640336	5688.011671613021	31235.78095457378	9612.875716765644	18865.025992456875	8776.398771478565	13370.888208384016	14885.340960910964
FASYN-INITIAL-PWY	205.78993656212373	586.9362580482341	1422.5423189498808	1910.399557565237	3283.999198075846	3726.794698175528	2659.297001182705	2227.155211879249	921.1938784609448	914.6249292562278	203.22130353873388	7156.502964555075	6609.198179569694	5481.085810489316	4999.148338700834	11356.669644474416	8858.872068810271	8070.578302497156	13191.30578387367	7652.583018350768	5360.808637092315	8653.045412273037	4431.117323291205	2945.537781700435	3401.6834298012323	5603.208661160538	10482.428793995869	4547.64449589808	5226.651334891403	8391.246711529733
FERMENTATION-PWY	12820.86461505785	7584.364299182217	5505.973060334998	5370.888621795492	5363.641769955597	11156.852890961987	8643.071711537661	6839.396499759514	5815.493939327243	4331.491589827734	15645.77936983368	11314.811314628194	10339.757572747956	8384.966239155516	9144.792694552396	11723.216331376609	7799.148297767504	7442.180136109196	11770.40169758054	8756.871548375993	7331.084995526031	10154.82352185407	4489.255225311448	2700.2180375475746	3001.910508799394	6630.681098453529	12390.748259414526	5251.249944065052	5642.3749263687	9051.377617932989
FOLSYN-PWY	7070.5863130760445	2865.180053797917	5081.174332696527	5833.669410845536	6427.221636124792	11720.97436564662	8216.89730142429	6636.58387836114	3852.83282879361	3841.912143555031	17126.055730766366	12919.14715272076	11215.675825765396	9607.7109777623	9772.706110260047	12810.02044095576	10391.66387315868	9428.074553618912	14662.364488838391	9542.881924193778	8494.259443390029	11637.459342311711	5804.671247867232	3173.2465067050707	4086.580792614545	7720.642486865716	14390.366717386394	6576.656320142758	7386.342326861578	10578.008835959185
FUC-RHAMCAT-PWY	722.100468675535	262.28442914071525	674.0362120936365	1000.5337563460488	1020.3390881187968	2070.044104635762	1714.7015429520743	965.6539313204532	292.7182880224932	399.6850949994186	443.8841257643337	3985.1340588331664	4016.777139769632	3931.5979226589857	2194.679194048405	877.0425364151811	541.4354698043871	747.3323892173875	1010.5591672208742	553.2686714505754	607.9692774539761	3347.852350167071	264.36762689535857	441.0636741363917	300.8562472747308	980.392261176492	2707.265040170602	1150.6054860502063	1193.5132348733946	1365.2329444743236
FUCCAT-PWY	505.7538288176869	339.5547646753909	687.6526423991529	948.9805917210828	1519.8390298493223	2007.842583455144	1461.0173843122454	1000.78167825708	348.66705777939603	375.6776465396724	300.17568537968384	3782.408368983348	3831.349156998957	3646.3364312042295	2405.843702624559	1406.8548669821753	1767.4039111799086	2159.4468326178803	4205.045809871656	2596.375901271791	686.5240080675949	3496.287836202948	1032.4708726958554	922.658636926514	612.8584540638844	761.8463670639046	2450.912439661575	1348.7485419609663	1251.419519536296	1105.2673948401498
GALACT-GLUCUROCAT-PWY	8370.650482102137	2451.832962293084	2678.774257831693	3394.387387915614	2408.8139327560043	5842.893158920233	5819.248843705253	2537.3522353717326	1524.8951962644032	94.79618722237002	5179.760585359771	5552.327027174079	5466.101536909807	3968.984306509329	3237.1289398569684	207.764023386226	214.60081021919703	359.7955060463373	1067.4425747403827	142.3367757430478	507.928498048314	7683.747522958932	174.41904390963276	193.51126637865	159.6795248268496	1609.9229412072025	3469.572226007252	1582.158454153331	1473.0997657247997	1560.309926970012
GALACTARDEG-PWY	54.436014839535815	31.031283179712865	488.20324261813647	785.4568826995179	706.4043472259563	1627.7117160982457	1254.079745379709	634.5710552173587	39.61587279166205	20.10183299389002	63.91751095448382	3696.1015566364495	3856.578433195105	3927.2938849459697	1856.857142857143	25.339083427176043	25.18267661040849	29.62399694587153	375.9837879938709	35.50609468392975	32.66727410248481	2957.5070291054503	56.99281407097498	6.938298381779826	6.447073685290386	245.0489431104541	1239.0388841855531	378.140742086095	507.57523253169626	227.88974517321023
GALACTUROCAT-PWY	11435.089332193627	5021.413254800756	2684.8139390654533	3459.6105412672778	2387.885968267069	5958.610013229562	6118.724804504094	2379.843831300248	2023.1165551683025	82.67545127347644	6767.197979997946	5561.340351432405	5326.499293788335	3814.314335414411	3004.3739884125257	1551.0288904356562	1419.974795662591	2173.520224759044	2076.598112046059	1326.8461626268545	1565.5347224012253	7214.736069792956	266.3202663233216	626.8131306105263	391.2775051224655	2445.5641687800708	4990.874878635387	1792.4737974958382	1752.966488617387	2669.008629415161
GALLATE-DEGRADATION-I-PWY	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.45497630331752	62.77199875917692	47.81398382093639	68.43922934581474	55.77926219590521	58.26164116120156	0.0	0.0	9.0	7.0	97.5940036956599	154.65768711670222	74.63083949393913	29.0	72.88456367366476
GALLATE-DEGRADATION-II-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.24675324675325	47.71646859083192	43.81370445272287	27.4424034334764	12.843747630364296	33.540154008422284	0.0	9.142857142857142	9.0	0.0	54.23259154670452	107.71631743087916	26.5374246831498	0.0	40.30094312338888
GLCMANNANAUT-PWY	48179.06768637173	46041.344225559966	35317.72005152394	32560.802088722256	28696.008609619195	36928.83114422781	34893.71354904992	37912.86131553038	36768.72513413937	42902.23033576938	17920.353374048656	24582.96058729321	18240.124261185843	18415.5241409598	24963.22905726838	23834.54557669404	49481.831200994784	31413.715170161915	32066.44292569205	37989.797809848365	34433.28278363853	57245.15808869951	33425.79833999692	4233.510208884684	27682.663839420664	4535.829443008256	10352.175594845508	5537.4093528411095	11191.75477150196	7863.261541890423
