#NAME	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B
Paeniclostridium	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	78395.62443	45578.85141	0	65633.54603	34639.92707	0	0	29170.4649	16408.38651	29170.4649	71103.0082	20054.69462	54694.6217	10938.92434	43755.69736	27347.31085	32816.77302	72926.16226
Marinospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.308113	0	0	52871.46764	133090.2461	0	29170.4649	41932.5433	30993.61896	40109.38924	34639.92707	38286.23519	65633.54603	60164.08387	21877.84868	74749.31632	47402.00547	60164.08387	21877.84868	7292.616226	162260.711
Coprococcus_3	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76572.47037	100273.4731	0	61987.23792	47402.00547	25524.15679	0	0	7292.616226	49225.15953	109389.2434	25524.15679	69279.85415	49225.15953	0	65633.54603	0	40109.38924
Vagococcus	0	0	0	0	0	0	0	0	0	0	5469.46217	12762.0784	0	0	0	0	16408.38651	1823.154057	9115.770283	0	0	5469.46217	0	0	0	3646.308113	0	0	0	0	0	0	67456.70009	92980.85688	0	78395.62443	54694.6217	29170.4649	94804.01094	82041.93254	65633.54603	60164.08387	80218.77849	29170.4649	72926.16226	38286.23519	43755.69736	63810.39198	20054.69462	133090.2461
Empedobacter	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25524.15679	0	54694.6217	69279.85415	0	83865.0866	34639.92707	18231.54057	47402.00547	49225.15953	38286.23519	61987.23792	142206.0164	16408.38651	74749.31632	41932.5433	51048.31358	63810.39198	10938.92434	71103.0082
Treponema_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118505.0137	107566.0893	0	63810.39198	80218.77849	21877.84868	47402.00547	85688.24066	29170.4649	129443.938	89334.54877	30993.61896	58340.92981	51048.31358	49225.15953	92980.85688	16408.38651	131267.0921
Erysipelatoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	3646.308113	1823.154057	14585.23245	27347.31085	0	5469.46217	23701.00273	0	0	10938.92434	5469.46217	0	1823.154057	0	0
Flavobacterium	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	5469.46217	0	0	0	0	27347.31085	87511.39471	0	43755.69736	52871.46764	12762.0784	78395.62443	61987.23792	52871.46764	41932.5433	87511.39471	7292.616226	83865.0866	29170.4649	16408.38651	16408.38651	10938.92434	111212.3974
Providencia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56517.77575	122151.3218	0	21877.84868	25524.15679	21877.84868	0	30993.61896	21877.84868	18231.54057	52871.46764	9115.770283	71103.0082	14585.23245	20054.69462	47402.00547	14585.23245	38286.23519
Comamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65633.54603	32816.77302	0	32816.77302	9115.770283	16408.38651	47402.00547	45578.85141	36463.08113	43755.69736	131267.0921	10938.92434	21877.84868	12762.0784	16408.38651	12762.0784	14585.23245	72926.16226
